run_id,queue_id,queue_rank,variant_id,short_probability_threshold,long_threshold,min_margin,long_block_feature,long_block_min,max_hold_m5,guardrail_expression,queue_type,trade_splitting_status,proxy_boundary(프록시 경계),claim_boundary(주장 경계),validation_trade_count,validation_trade_per_business_day,validation_net_profit,validation_profit_factor,validation_expectancy,validation_max_drawdown,validation_recovery_factor,validation_long_count,validation_short_count,validation_long_short_balance,validation_business_days,oos_trade_count,oos_trade_per_business_day,oos_net_profit,oos_profit_factor,oos_expectancy,oos_max_drawdown,oos_recovery_factor,oos_long_count,oos_short_count,oos_long_short_balance,oos_business_days,combined_trade_count,combined_trade_per_business_day,combined_net_profit,combined_profit_factor,combined_expectancy,combined_max_drawdown,combined_recovery_factor,combined_long_count,combined_short_count,combined_long_short_balance,combined_business_days,net_delta_vs_run364V_proxy,pf_delta_vs_run364V_proxy,dd_delta_vs_run364V_proxy,density_delta_vs_run364V_proxy,candidate_status,selection_score
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,maxhold6_density_control,2,maxhold6_density_control__ps0_45__adx40_0__hold6__none,0.45,0.0,-0.000562137088,adx_14,40.0,6,none(없음),repair_probe(수리 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,693,3.5721649485,341.015,1.1684158592,0.4920851371,-148.7,2.2933086752,613,80,0.1305057096,194,571,4.1079136691,430.408,1.2829768028,0.7537793345,-168.999,2.5468079693,512,59,0.115234375,139,1264,3.7957957958,771.423,1.2175571938,0.6103030063,-168.999,4.5646601459,1125,139,0.1235555556,333,-0.141,-0.0042834565,-13.992,0.5495495496,watch_pf_not_above_target(PF 목표 미만 관찰),894.718495496
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_3,15,stress_zone_3__ps0_45__adx40_0__hold8__entry_month2025_03,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,509,2.6237113402,339.18,1.2175502602,0.6663654224,-142.323,2.3831706752,452,57,0.1261061947,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,994,2.984984985,840.192,1.2758061959,0.8452635815,-142.323,5.9034168757,882,112,0.126984127,333,68.628,0.0539655456,12.684,-0.2612612612,fail_density_floor(밀도 하한 실패),882.4253864
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,adx38_density_counterfactual,4,adx38_density_counterfactual__ps0_45__adx38_0__hold8__none,0.45,0.0,-0.000562137088,adx_14,38.0,8,none(없음),counterfactual(대조 반사실),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,585,3.0154639175,331.665,1.1719592356,0.5669487179,-142.197,2.3324331737,510,75,0.1470588235,194,472,3.3956834532,467.024,1.3162516557,0.9894576271,-82.366,5.6701065974,417,55,0.1318944844,139,1057,3.1741741742,798.689,1.2345298327,0.7556187323,-142.197,5.6167781317,927,130,0.1402373247,333,27.125,0.0126891824,12.81,-0.072072072,watch_pf_not_above_target(PF 목표 미만 관찰),855.167196504
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_4,16,stress_zone_4__ps0_45__adx40_0__hold8__entry_month2025_03_sidelong,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_month=2025-03|side=long,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,528,2.7216494845,307.032,1.1873560651,0.5815,-142.323,2.1572901077,452,76,0.1681415929,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1013,3.042042042,808.044,1.2584924377,0.7976742349,-142.323,5.6775363083,882,131,0.1485260771,333,36.48,0.0366517874,12.684,-0.2042042042,watch_pf_not_above_target(PF 목표 미만 관찰),854.79399189
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,hour16_maxhold6_guardrail,8,hour16_maxhold6_guardrail__ps0_45__adx40_0__hold6__soft_guard_entry_hour_16,0.45,0.0,-0.000562137088,adx_14,40.0,6,soft_guard_entry_hour_16(16시 소프트 가드),session_probe(세션 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,676,3.4845360825,289.012,1.1446075868,0.4275325444,-183.033,1.5790158059,613,63,0.1027732463,194,560,4.0287769784,452.769,1.3126501469,0.8085160714,-155.974,2.9028491928,511,49,0.095890411,139,1236,3.7117117117,741.781,1.2152110968,0.6001464401,-183.033,4.0527172696,1124,112,0.0996441281,333,-29.783,-0.0066295535,-28.026,0.4654654655,watch_pf_not_above_target(PF 목표 미만 관찰),849.586405404
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,baseline_replay_control,1,baseline_replay_control__ps0_45__adx40_0__hold8__none,0.45,0.0,-0.000562137088,adx_14,40.0,8,none(없음),control(대조),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,596,3.0721649485,270.552,1.1359021692,0.4539463087,-155.007,1.7454179489,522,74,0.1417624521,194,485,3.4892086331,501.012,1.3368770697,1.033014433,-90.53,5.5342096543,430,55,0.1279069767,139,1081,3.2462462462,771.564,1.2218406503,0.7137502313,-155.007,4.9776074629,952,129,0.1355042017,333,0.0,0.0,0.0,0.0,watch_pf_not_above_target(PF 목표 미만 관찰),826.913549544
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,short050_hour16_soft_guardrail,11,short050_hour16_soft_guardrail__ps0_5__adx40_0__hold8__short_threshold_plus_hour16_soft_guard,0.5,0.0,-0.000562137088,adx_14,40.0,8,short_threshold_plus_hour16_soft_guard(숏 임계값+16시 소프트 가드),combined_probe(합성 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,523,2.6958762887,312.04,1.1860983284,0.5966347992,-172.391,1.8100712914,522,1,0.0019157088,194,434,3.1223021583,482.596,1.383183002,1.1119723502,-88.47,5.4549112694,429,5,0.0116550117,139,957,2.8738738739,794.636,1.2706352591,0.8303406479,-172.391,4.6094981757,951,6,0.0063091483,333,23.072,0.0487946088,-17.384,-0.3723723723,fail_density_floor(밀도 하한 실패),808.0346522
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,hour16_soft_guardrail,7,hour16_soft_guardrail__ps0_45__adx40_0__hold8__soft_guard_entry_hour_16,0.45,0.0,-0.000562137088,adx_14,40.0,8,soft_guard_entry_hour_16(16시 소프트 가드),session_probe(세션 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,582,3.0,245.147,1.1253353907,0.4212147766,-192.655,1.2724663258,522,60,0.1149425287,194,475,3.4172661871,499.56,1.3474472476,1.0517052632,-86.941,5.7459656549,429,46,0.1072261072,139,1057,3.1741741742,744.707,1.2194362013,0.7045477767,-192.655,3.8654953155,951,106,0.1114616193,333,-26.857,-0.002404449,-37.648,-0.072072072,watch_pf_not_above_target(PF 목표 미만 관찰),786.807900904
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_2,14,stress_zone_2__ps0_45__adx40_0__hold8__entry_hour16_sideshort,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_hour=16|side=short,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,582,3.0,245.147,1.1253353907,0.4212147766,-192.655,1.2724663258,522,60,0.1149425287,194,475,3.4172661871,499.56,1.3474472476,1.0517052632,-86.941,5.7459656549,429,46,0.1072261072,139,1057,3.1741741742,744.707,1.2194362013,0.7045477767,-192.655,3.8654953155,951,106,0.1114616193,333,-26.857,-0.002404449,-37.648,-0.072072072,watch_pf_not_above_target(PF 목표 미만 관찰),786.807900904
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,short055_quality_probe,6,short055_quality_probe__ps0_55__adx40_0__hold8__short_only_threshold,0.55,0.0,-0.000562137088,adx_14,40.0,8,short_only_threshold(숏 전용 임계값),stress_probe(압박 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,522,2.6907216495,324.053,1.1946574079,0.6207911877,-172.391,1.8797559037,522,0,0.0,194,429,3.0863309353,428.097,1.3403023871,0.9978951049,-88.47,4.8388945405,429,0,0.0,139,951,2.8558558559,752.15,1.2573454567,0.7909043113,-172.391,4.3630467948,951,0,0.0,333,-19.414,0.0355048064,-17.384,-0.3903903903,fail_density_floor(밀도 하한 실패),761.0262016
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,short050_quality_probe,5,short050_quality_probe__ps0_5__adx40_0__hold8__short_only_threshold,0.5,0.0,-0.000562137088,adx_14,40.0,8,short_only_threshold(숏 전용 임계값),repair_probe(수리 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,524,2.7010309278,319.04,1.1902730762,0.6088549618,-172.391,1.8506766595,522,2,0.0038314176,194,436,3.1366906475,429.985,1.3317299161,0.9862041284,-88.47,4.8602351079,430,6,0.0139534884,139,960,2.8828828829,749.025,1.2519477365,0.780234375,-172.391,4.3449193983,952,8,0.0084033613,333,-22.539,0.0301070862,-17.384,-0.3633633633,fail_density_floor(밀도 하한 실패),758.15177155
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,adx42_maxhold6_short050,12,adx42_maxhold6_short050__ps0_5__adx42_0__hold6__none,0.5,0.0,-0.000562137088,adx_14,42.0,6,none(없음),combined_probe(합성 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,637,3.2835051546,379.675,1.2148484361,0.5960361068,-180.318,2.1055856875,635,2,0.0031496063,194,536,3.8561151079,253.094,1.173690871,0.4721902985,-183.714,1.3776522203,529,7,0.0132325142,139,1173,3.5225225225,632.769,1.1962483345,0.5394450128,-183.714,3.444315621,1164,9,0.0077319588,333,-138.795,-0.0255923158,-28.707,0.2762762763,watch_pf_not_above_target(PF 목표 미만 관찰),697.2717027
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,stress_zone_1,13,stress_zone_1__ps0_45__adx40_0__hold8__entry_hour16,0.45,0.0,-0.000562137088,adx_14,40.0,8,entry_hour=16,stress_zone_guardrail_probe(압박 구간 가드레일 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,546,2.8144329897,205.679,1.1130686513,0.3767014652,-169.851,1.210937822,483,63,0.1304347826,194,436,3.1366906475,441.077,1.3628011917,1.0116444954,-89.923,4.9050521001,390,46,0.1179487179,139,982,2.9489489489,646.756,1.2131120262,0.658610998,-169.851,3.8077844699,873,109,0.1248568156,333,-124.808,-0.0087286241,-14.844,-0.2972972973,fail_density_floor(밀도 하한 실패),668.556
run364AA_train_density_side_balance_cost_session_stress_scout_without_db_v1,adx42_pf_control,3,adx42_pf_control__ps0_45__adx42_0__hold8__none,0.45,0.0,-0.000562137088,adx_14,42.0,8,none(없음),repair_probe(수리 탐침),not_used(미사용),"sequence_proxy_not_mt5_runtime(순서 프록시, MT5 런타임 아님)",research_development_proxy_scout_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim,611,3.1494845361,164.377,1.078154367,0.2690294599,-215.058,0.7643379925,537,74,0.1378026071,194,501,3.6043165468,413.203,1.2608581742,0.824756487,-100.795,4.0994394563,446,55,0.1233183857,139,1112,3.3393393393,577.58,1.1566425267,0.5194064748,-215.058,2.6856940918,983,129,0.1312309257,333,-193.984,-0.0651981236,-60.051,0.0930930931,watch_pf_not_above_target(PF 목표 미만 관찰),644.100720716
