run_id,source_stage,adapter_id,segment,trade_count,net_profit,profit_factor,mfe_capture_ratio,drawdown_or_mae_note,stage107_segment_read
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,actual_routed_total,152,639.85,1.612695342,0.2271010709,151.35,full_oos_reference
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,early,51,8.11,1.029162172,0.01501486212,76.31,early_weak
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,mid,51,363.49,2.117914809,0.3362999786,145.19,mid_profit_engine
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage102_best,s102_v41_h3_cd8_lng_early_adx18,late,50,268.25,1.608180107,0.2241981937,106.3,late_support_or_damage
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,actual_routed_total,150,614.67,1.593270725,0.2222886433,152.56,full_oos_reference
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,early,50,32.51,1.128143477,0.06074909558,76.31,early_preserved
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,mid,50,330.93,1.946731512,0.311537712,146.52,mid_profit_engine
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage104_balanced_candidate,s104_v41_h3_cd8_lng_early_adx19,late,50,251.23,1.580449147,0.2151329499,103.84,late_support_or_damage
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_candidate,s106_v41_h3_cd8_lng_early_adx185,actual_routed_total,150,614.67,1.593270725,0.2222886433,152.56,full_oos_reference
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_candidate,s106_v41_h3_cd8_lng_early_adx185,early,50,32.51,1.128143477,0.06074909558,76.31,early_preserved
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_candidate,s106_v41_h3_cd8_lng_early_adx185,mid,50,330.93,1.946731512,0.311537712,146.52,mid_profit_engine
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_candidate,s106_v41_h3_cd8_lng_early_adx185,late,50,251.23,1.580449147,0.2151329499,103.84,late_support_or_damage
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_net_pf_best,s106_v41_h3_cd9_lng_early_adx19,actual_routed_total,147,644.76,1.637076853,0.2346426109,152.56,full_oos_reference
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_net_pf_best,s106_v41_h3_cd9_lng_early_adx19,early,49,38.84,1.157011764,0.0727640601,76.31,early_preserved
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_net_pf_best,s106_v41_h3_cd9_lng_early_adx19,mid,49,332.37,1.968049164,0.3213249373,138.75,mid_profit_engine
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_net_pf_best,s106_v41_h3_cd9_lng_early_adx19,late,49,273.55,1.649222736,0.2318839351,103.84,late_support_or_damage
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_dd_best,s106_v41_h4_cd8_lng_early_adx19,actual_routed_total,147,615.72,1.551824268,0.1990220985,128.6,full_oos_reference
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_dd_best,s106_v41_h4_cd8_lng_early_adx19,early,49,57.13,1.198058589,0.09606341766,89.96,early_preserved
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_dd_best,s106_v41_h4_cd8_lng_early_adx19,mid,49,346.51,2.121681989,0.3138434478,106.06,mid_profit_engine
run107A_stage107_v41_oos_net_density_dd_followup_review_v1,stage106_dd_best,s106_v41_h4_cd8_lng_early_adx19,late,49,212.08,1.409089156,0.1520363029,96.35,late_support_or_damage
