stage,attempt_name,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,max_drawdown_percent,report_path,report_sha256
20,routed_oos,completed,completed,completed,295.69,1.51,125,17.98,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_oos.htm,d1d224a828d3c05432b7eccc3ffc67274841d5b595cfb390d44e7ea3dbf8b38e
20,routed_validation_is,completed,completed,completed,8.65,1.01,211,36.26,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_validation_is.htm,b21bb09c7fe229e8299df6ef2ccca1aa047d8444b0a16d91efc7d7e7a99d33bb
21,routed_oos,completed,completed,completed,-49.77,0.94,130,29.25,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_oos.htm,51e55a6c9d4def9ffc79ee695d6054760bdc3f577f659179115132b0ec20c225
21,routed_validation_is,completed,completed,completed,-113.11,0.9,173,45.64,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_validation_is.htm,df4c62ae0848d1290564e844320315ce541b24f640fc7681d351752c19cb0e4c
22,routed_oos,completed,completed,completed,121.96,1.05,562,47.16,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_oos.htm,a66c42cddb05bfea1a8d5e21de240a71de8eb059965bfbebdb65607eb86cae1b
22,routed_validation_is,completed,completed,completed,-497.25,0.69,279,99.55,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_validation_is.htm,44fe4e1c98df64ae694abb45ff6810e966d0ef5f5401d9b1e4a9c71c1d4727bd
23,routed_oos,completed,completed,completed,254.63,1.19,345,18.08,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_oos.htm,1e5072cdabb80793f08f1c28b026da2cafca1d2c0a2f938162f134fc74e79d92
23,routed_validation_is,completed,completed,completed,324.75,1.16,476,50.9,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_validation_is.htm,94ab913c2f1862d47877393502513f3a1f4912d5adc38e38cb81752d589194b0
24,routed_oos,completed,completed,completed,-98.54,0.88,1100,26.58,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_oos.htm,2132a9c8266f0c7c18dc9fb49a2d06ddafd1aded84d6708d6cc6a8a9e69a7f59
24,routed_validation_is,completed,completed,completed,-157.74,0.9,2195,49.6,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_validation_is.htm,e75c72ae7bf58b6441a7197a1f2e3879de7a672943f549f28591a3661e3cd279
