stage,validation_status,validation_net_profit,validation_profit_factor,validation_trade_count,validation_max_drawdown_percent,oos_status,oos_net_profit,oos_profit_factor,oos_trade_count,oos_max_drawdown_percent,validation_report_path,oos_report_path
Stage20,completed,8.65,1.01,211,36.26,completed,295.69,1.51,125,17.98,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/20_model_family_challenge__gam_additive_smooth_shape/02_runs/run14B_gam_runtime_handoff_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run14B_gam_runtime_handoff_probe_v1_routed_oos.htm
Stage21,completed,-113.11,0.9,173,45.64,completed,-49.77,0.94,130,29.25,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/21_model_family_challenge__elasticnet_logistic_linear_sanity/02_runs/run15B_elasticnet_logistic_onnx_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run15B_elasticnet_logistic_onnx_runtime_probe_v1_routed_oos.htm
Stage22,completed,-497.25,0.69,279,99.55,completed,121.96,1.05,562,47.16,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/22_regime_model__hmm_hidden_state_segmentation/02_runs/run16B_hmm_state_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run16B_hmm_state_runtime_probe_v1_routed_oos.htm
Stage23,completed,324.75,1.16,476,50.9,completed,254.63,1.19,345,18.08,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/23_regime_model__supervised_regime_classifier_filter/02_runs/run17B_supervised_regime_classifier_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run17B_supervised_regime_classifier_runtime_probe_v1_routed_oos.htm
Stage24,completed,-157.74,0.9,2195,49.6,completed,-98.54,0.88,1100,26.58,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/24_exit_model__survival_time_to_event_hold_shape/02_runs/run18B_survival_time_to_event_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run18B_survival_time_to_event_runtime_probe_v1_routed_oos.htm
Stage25,completed,-89.59,0.94,2145,32.63,completed,-174.49,0.83,1210,39.2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/25_exit_model__hazard_trade_lifecycle_risk/02_runs/run19B_hazard_trade_lifecycle_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run19B_hazard_trade_lifecycle_runtime_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/25_exit_model__hazard_trade_lifecycle_risk/02_runs/run19B_hazard_trade_lifecycle_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run19B_hazard_trade_lifecycle_runtime_probe_v1_routed_oos.htm
Stage26,completed,-17.21,0.05,6,4.26,completed,39.49,2.37,10,4.33,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/26_model_family_challenge__ngboost_probabilistic_distribution_shape/02_runs/run20B_ngboost_distribution_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run20B_ngboost_distribution_runtime_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/26_model_family_challenge__ngboost_probabilistic_distribution_shape/02_runs/run20B_ngboost_distribution_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run20B_ngboost_distribution_runtime_probe_v1_routed_oos.htm
Stage27,completed,-38.2,0.97,665,53.95,completed,79.17,1.07,576,30.01,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/27_tail_model__quantile_boosting_risk_surface/02_runs/run21B_quantile_boosting_tail_risk_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run21B_quantile_boosting_tail_risk_runtime_probe_v1_routed_validation_is.htm,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/27_tail_model__quantile_boosting_risk_surface/02_runs/run21B_quantile_boosting_tail_risk_runtime_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run21B_quantile_boosting_tail_risk_runtime_probe_v1_routed_oos.htm
