record_view,candidate_id,candidate_alias,candidate_role,test_id,test_type,materialization_boundary,route_role,tier_scope,status,base_net_profit,p0_net_profit,net_profit_delta,base_profit_factor,p0_profit_factor,profit_factor_delta,base_trade_count,p0_trade_count,trade_count_delta,base_dd_percent,p0_dd_percent,dd_percent_delta,base_recovery_factor,p0_recovery_factor,recovery_factor_delta,review_label
mt5_ta_s264_aih_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,95.56,412.57,317.01,1.05,1.35,0.3,353,314,-39,36.68,15.9,-20.78,0.31,3.43,3.12,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s264_aih_abl_volatility_bandwidth_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,95.56,412.57,317.01,1.05,1.35,0.3,353,314,-39,36.68,15.9,-20.78,0.31,3.43,3.12,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s264_aih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,95.56,176.35,80.79,1.05,1.13,0.08,353,340,-13,36.68,25.47,-11.21,0.31,0.91,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s264_aih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,95.56,176.35,80.79,1.05,1.13,0.08,353,340,-13,36.68,25.47,-11.21,0.31,0.91,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s264_aih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,95.56,176.35,80.79,1.05,1.13,0.08,353,340,-13,36.68,25.47,-11.21,0.31,0.91,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s264_aih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,95.56,176.35,80.79,1.05,1.13,0.08,353,340,-13,36.68,25.47,-11.21,0.31,0.91,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s264_aih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,95.56,412.57,317.01,1.05,1.35,0.3,353,314,-39,36.68,15.9,-20.78,0.31,3.43,3.12,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s264_aih_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,95.56,412.57,317.01,1.05,1.35,0.3,353,314,-39,36.68,15.9,-20.78,0.31,3.43,3.12,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s264_lc_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),tier_only_total,Tier A,completed,71.34,-32.52,-103.86,1.04,0.98,-0.06,350,350,0,37.52,42.67,5.15,0.23,-0.1,-0.33,destructive_failure_memory(파괴적 실패 기억)
mt5_rt_s264_lc_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,Tier A+B,completed,71.34,-32.52,-103.86,1.04,0.98,-0.06,350,350,0,37.52,42.67,5.15,0.23,-0.1,-0.33,destructive_failure_memory(파괴적 실패 기억)
mt5_ta_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),tier_only_total,Tier A,completed,71.34,1227.99,1156.65,1.04,1.24,0.2,350,516,166,37.52,22.97,-14.55,0.23,2.92,2.69,"strong_direct_clue_needs_curve_review(강한 직접 단서, 곡선 검토 필요)"
mt5_rt_s264_lc_abl_gate_variant_rule_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,Tier A+B,completed,71.34,1227.99,1156.65,1.04,1.24,0.2,350,516,166,37.52,22.97,-14.55,0.23,2.92,2.69,"strong_direct_clue_needs_curve_review(강한 직접 단서, 곡선 검토 필요)"
mt5_ta_s264_lc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,71.34,162.73,91.39,1.04,1.12,0.08,350,337,-13,37.52,26.15,-11.37,0.23,0.83,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s264_lc_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,71.34,162.73,91.39,1.04,1.12,0.08,350,337,-13,37.52,26.15,-11.37,0.23,0.83,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s264_lc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,71.34,162.73,91.39,1.04,1.12,0.08,350,337,-13,37.52,26.15,-11.37,0.23,0.83,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s264_lc_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,71.34,162.73,91.39,1.04,1.12,0.08,350,337,-13,37.52,26.15,-11.37,0.23,0.83,0.6,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s264_lc_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,71.34,396.18,324.84,1.04,1.34,0.3,350,312,-38,37.52,16.81,-20.71,0.23,3.12,2.89,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_rt_s264_lc_rep_volatility_atr_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,71.34,396.18,324.84,1.04,1.34,0.3,350,312,-38,37.52,16.81,-20.71,0.23,3.12,2.89,"strong_proxy_clue_not_internal_ablation(강한 대체 단서, 내부 제거 아님)"
mt5_ta_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),tier_only_total,Tier A,completed,44.49,-51.96,-96.45,1.02,0.97,-0.05,352,352,0,40.13,45.33,5.2,0.13,-0.15,-0.28,destructive_failure_memory(파괴적 실패 기억)
mt5_rt_s262_lih_abl_gate_rank_bucket_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),direct_runtime_surface_ablation(직접 런타임 표면 제거),routed_total,Tier A+B,completed,44.49,-51.96,-96.45,1.02,0.97,-0.05,352,352,0,40.13,45.33,5.2,0.13,-0.15,-0.28,destructive_failure_memory(파괴적 실패 기억)
mt5_ta_s262_lih_abl_ma_trend_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,44.49,98.52,54.03,1.02,1.07,0.05,352,345,-7,40.13,31.12,-9.01,0.13,0.4,0.27,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s262_lih_abl_ma_trend_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_ma_trend,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,44.49,98.52,54.03,1.02,1.07,0.05,352,345,-7,40.13,31.12,-9.01,0.13,0.4,0.27,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s262_lih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,44.49,140.02,95.53,1.02,1.1,0.08,352,339,-13,40.13,27.5,-12.63,0.13,0.68,0.55,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_rt_s262_lih_abl_trend_strength_directi_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",routed_total,Tier A+B,completed,44.49,140.02,95.53,1.02,1.1,0.08,352,339,-13,40.13,27.5,-12.63,0.13,0.68,0.55,constructive_but_not_enough(건설적이나 충분하지 않음)
mt5_ta_s262_lih_rep_trend_strength_adx_historical_2024_tier_a_train_era_stress,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",tier_only_total,Tier A,completed,44.49,140.02,95.53,1.02,1.1,0.08,352,339,-13,40.13,27.5,-12.63,0.13,0.68,0.55,constructive_but_not_enough(건설적이나 충분하지 않음)
