queue_id,candidate_alias,test_id,test_type,feature_family,transform_type,materialization_boundary,source_feature_file,feature_file,feature_sha256,feature_count,feature_order,feature_order_hash,added_feature,rows,changed_rows,context_missing_rows,total_signal_rows,score_min,score_q50,score_q80,score_q95,score_max,signal_score_q50,signal_score_q80,rank_column,rank_neutralized_rows,gate_column,gate_feature_present_rows
run267N_01_s264_aih_abl_volatility_bandwidth,s264_aih,abl_volatility_bandwidth,feature_category_ablation(피처 범주 제거),volatility_bandwidth,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aih/run267n_01_s264_aih_abl_volatility_bandwidth/features/s264_aih_abl_volatility_bandwidth.csv,e73a3ecbf94a379e2dec33679b2cdb0a4c28f1af73027e97bda978883762502d,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;stage267n_abl_volatility_bandwidth_score,bc91bdf1a10eeeaf3d799304aed032755ce564ba16c372edfbbbdb2127b93751,stage267n_abl_volatility_bandwidth_score,11651,11622,0,540,0,0.620223755203,0.811714057553,0.936275829375,1,0.550089509344,0.743396733574,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_allow_inner_high_quarter,0
run267N_02_s264_aih_abl_trend_strength_direction,s264_aih,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),trend_strength_direction,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aih/run267n_02_s264_aih_abl_trend_strength_direction/features/s264_aih_abl_trend_strength_direction.csv,b5b2185c10206e94d6103b1fb912c1e0ffc77bf358b1007ef0e771d8d7e1a34c,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;stage267n_abl_trend_strength_direction_score,333af9f9e8d6630863ae3b077f9bbc44b3a93a20f8fbdc8924e58a1c7797b5ac,stage267n_abl_trend_strength_direction_score,11651,11368,0,540,0,0.442222592333,0.676642375996,0.835293300093,0.982459819015,0.42430148121,0.65942505129,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_allow_inner_high_quarter,0
run267N_03_s264_aih_rep_trend_strength_adx,s264_aih,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),trend_strength(추세 강도),context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aih/run267n_03_s264_aih_rep_trend_strength_adx/features/s264_aih_rep_trend_strength_adx.csv,5c0381f04626c4a6a1b03eaa15be6202ca2ab964fddd05b9788959043ac2ba51,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;stage267n_rep_trend_strength_adx_score,87c4f67bf20f9731ec15ce00994066e569c3b5e9255b1907d56598336949db88,stage267n_rep_trend_strength_adx_score,11651,11368,0,540,0,0.442222592333,0.676642375996,0.835293300093,0.982459819015,0.42430148121,0.65942505129,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_allow_inner_high_quarter,0
run267N_04_s264_aih_rep_volatility_atr,s264_aih,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),volatility_risk(변동성 위험),context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_aih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_aih/run267n_04_s264_aih_rep_volatility_atr/features/s264_aih_rep_volatility_atr.csv,f614ae2326c51a8b84c702a01a2287529f8069bc181bea033cb6236f5021220f,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_allow_inner_high_quarter;stage267n_rep_volatility_atr_score,ef54790c4852477bab905cef024ec8db5a29cb1c40583d090814f84f5428428b,stage267n_rep_volatility_atr_score,11651,11622,0,540,0,0.620223755203,0.811714057553,0.936275829375,1,0.550089509344,0.743396733574,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_allow_inner_high_quarter,0
run267N_05_s264_lc_abl_gate_rank_bucket,s264_lc,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),source_feature_rank_bucket,direct_rank_bucket_neutralization(직접 순위 구간 중립화),direct_runtime_surface_ablation(직접 런타임 표면 제거),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_05_s264_lc_abl_gate_rank_bucket/features/s264_lc_abl_gate_rank_bucket.csv,48a5edb3ddab753fa375bf1505499e04c682b37f60d61a64d09aca1749a51ef7,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,,11651,9894,0,540,0,0,0,0,0,0,0,stage264_source_feature_rank_bucket,9894,stage264_source_feature_gate_lowrank_control,0
run267N_06_s264_lc_abl_gate_variant_rule,s264_lc,abl_gate_variant_rule,feature_category_ablation(피처 범주 제거),source_feature_gate,direct_gate_filter_disable(직접 게이트 필터 비활성화),direct_runtime_surface_ablation(직접 런타임 표면 제거),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_06_s264_lc_abl_gate_variant_rule/features/s264_lc_abl_gate_variant_rule.csv,6f1a3c1dd083d5dff3766188bbe1ed838bc504af77c23cf8c7eef13ebf5ce0e7,3,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control,57802ff8452e88002fcc25324198176680451bd754d1ed7eac425aba5090a0d8,,11651,0,0,540,0,0,0,0,0,0,0,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_lowrank_control,11651
run267N_07_s264_lc_abl_trend_strength_direction,s264_lc,abl_trend_strength_direction,feature_category_ablation(피처 범주 제거),trend_strength_direction,context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_07_s264_lc_abl_trend_strength_direction/features/s264_lc_abl_trend_strength_direction.csv,0901f29c0e39504b32e786735553211fc431719f4e773f42a0d0ceb9f5d969a8,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;stage267n_abl_trend_strength_direction_score,dfbe203aa16d6e4f2b162bf48dedb8a6e355fe688c4c5df40533f56f86006da0,stage267n_abl_trend_strength_direction_score,11651,11368,0,540,0,0.442222592333,0.676642375996,0.835293300093,0.982459819015,0.42430148121,0.65942505129,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_lowrank_control,0
run267N_08_s264_lc_rep_trend_strength_adx,s264_lc,rep_trend_strength_adx,similar_feature_replacement(유사 피처 대체),trend_strength(추세 강도),context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_08_s264_lc_rep_trend_strength_adx/features/s264_lc_rep_trend_strength_adx.csv,0e21fd64227d903870a6b0abe78041fd611ffcf25c7ddb50dcfb97315f678dc6,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;stage267n_rep_trend_strength_adx_score,44ef5295218d0a3aa9a9d4864b8584fb36c52f7f7f14ec6425cc196ee653fbb1,stage267n_rep_trend_strength_adx_score,11651,11368,0,540,0,0.442222592333,0.676642375996,0.835293300093,0.982459819015,0.42430148121,0.65942505129,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_lowrank_control,0
run267N_09_s264_lc_rep_volatility_atr,s264_lc,rep_volatility_atr,similar_feature_replacement(유사 피처 대체),volatility_risk(변동성 위험),context_proxy_score_extension(문맥 대체 점수 확장),"proxy_adapter_variant_not_true_internal_feature_ablation(대체 어댑터 변형, 내부 피처 직접 제거 아님)",stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s264_lc.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s264_lc/run267n_09_s264_lc_rep_volatility_atr/features/s264_lc_rep_volatility_atr.csv,832fb735d315c8fe6111a64714cb93365b94634ca1c1af00f76a0351dafcd58a,4,stage56_context_et_event_signal;stage264_source_feature_rank_bucket;stage264_source_feature_gate_lowrank_control;stage267n_rep_volatility_atr_score,98f9c96ec080b3e4d49354efab8a100eba81774e723da69c73809ce2a919cfc3,stage267n_rep_volatility_atr_score,11651,11622,0,540,0,0.620223755203,0.811714057553,0.936275829375,1,0.550089509344,0.743396733574,stage264_source_feature_rank_bucket,0,stage264_source_feature_gate_lowrank_control,0
run267N_10_s262_lih_abl_gate_rank_bucket,s262_lih,abl_gate_rank_bucket,feature_category_ablation(피처 범주 제거),source_feature_rank_bucket,direct_rank_bucket_neutralization(직접 순위 구간 중립화),direct_runtime_surface_ablation(직접 런타임 표면 제거),stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267B/historical_2024/features/s262_lih.csv,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267N/p0_ablation_replacement_materialization/variants/s262_lih/run267n_10_s262_lih_abl_gate_rank_bucket/features/s262_lih_abl_gate_rank_bucket.csv,ddd585aae8be942763110c8acfa83112c8c7670457d81ef685dcc2c633fdeaad,3,stage56_context_et_event_signal;stage262_source_feature_rank_bucket;stage262_source_feature_gate_lowrank_inner_half_filter,4f64f17683b280455b32178290469759d37c1ac5c966d9c556def888cbfd04de,,11651,9894,0,540,0,0,0,0,0,0,0,stage262_source_feature_rank_bucket,9894,stage262_source_feature_gate_lowrank_inner_half_filter,0
