attempt_name,variant_id,candidate_id,candidate_alias,candidate_role,profile_label,source_test_id,tier,attempt_role,record_view_prefix,set_path,set_sha256,ini_path,ini_sha256,common_telemetry_path,common_summary_path,execution_status
run267cf_01_s264_aih_loss_shape_proxy_ta_2024,run267cf_01_s264_aih_loss_shape_proxy,s264_allow_inner_high_quarter,s264_aih,challenger_core,loss_shape_proxy_minimal,rep_volatility_atr,Tier A,tier_only_total,mt5_ta_s264_aih_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_01_s264_aih_loss_shape_proxy_ta_2024.set,2887e4b7934a791bd465dc150141452bf6dcc5e6b45ee0e18c2550fc3d42e86a,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_01_s264_aih_loss_shape_proxy_ta_2024.ini,c8b6deaef313f5265cde5bdd01619529c982b8c25f7a1566cfcc0eca366975d8,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aih/run267cf_01_s264_aih_loss_shape_proxy/telemetry/run267cf_01_s264_aih_loss_shape_proxy_ta_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aih/run267cf_01_s264_aih_loss_shape_proxy/telemetry/run267cf_01_s264_aih_loss_shape_proxy_ta_2024_summary.csv,not_executed
run267cf_01_s264_aih_loss_shape_proxy_rt_2024,run267cf_01_s264_aih_loss_shape_proxy,s264_allow_inner_high_quarter,s264_aih,challenger_core,loss_shape_proxy_minimal,rep_volatility_atr,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aih_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_01_s264_aih_loss_shape_proxy_rt_2024.set,9831ee985e4025a5937aab5b0f2bed51a474f79ae7e1b91d447db0fe807161cc,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_01_s264_aih_loss_shape_proxy_rt_2024.ini,27a8e7c949cb2cb0fd1175428a6535db54c1cfd7572b8e1bf6d3ad9ee75ace8b,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aih/run267cf_01_s264_aih_loss_shape_proxy/telemetry/run267cf_01_s264_aih_loss_shape_proxy_rt_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aih/run267cf_01_s264_aih_loss_shape_proxy/telemetry/run267cf_01_s264_aih_loss_shape_proxy_rt_2024_summary.csv,not_executed
run267cf_02_s264_lc_loss_shape_proxy_ta_2024,run267cf_02_s264_lc_loss_shape_proxy,s264_lowrank_control,s264_lc,defensive_control,loss_shape_proxy_minimal,rep_volatility_atr,Tier A,tier_only_total,mt5_ta_s264_lc_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_02_s264_lc_loss_shape_proxy_ta_2024.set,a468927e77f225fb8fe24887061a7dbbdc9ef2a78d8b104320108ad3b0ca27df,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_02_s264_lc_loss_shape_proxy_ta_2024.ini,e33695a2176bcba4a505ab52906120da894855bf3138f67ed8fe1c57261a16aa,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_lc/run267cf_02_s264_lc_loss_shape_proxy/telemetry/run267cf_02_s264_lc_loss_shape_proxy_ta_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_lc/run267cf_02_s264_lc_loss_shape_proxy/telemetry/run267cf_02_s264_lc_loss_shape_proxy_ta_2024_summary.csv,not_executed
run267cf_02_s264_lc_loss_shape_proxy_rt_2024,run267cf_02_s264_lc_loss_shape_proxy,s264_lowrank_control,s264_lc,defensive_control,loss_shape_proxy_minimal,rep_volatility_atr,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_lc_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_02_s264_lc_loss_shape_proxy_rt_2024.set,c9b0088173289fbcdafc8d00220a28be30d0402a0b2397fdd31f6960e8b1a2eb,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_02_s264_lc_loss_shape_proxy_rt_2024.ini,c91081c3f05866712baac746e60e438b0325d7410d9d7d189e51709e7ceb0c87,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_lc/run267cf_02_s264_lc_loss_shape_proxy/telemetry/run267cf_02_s264_lc_loss_shape_proxy_rt_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_lc/run267cf_02_s264_lc_loss_shape_proxy/telemetry/run267cf_02_s264_lc_loss_shape_proxy_rt_2024_summary.csv,not_executed
run267cf_03_s262_lih_loss_shape_proxy_ta_2024,run267cf_03_s262_lih_loss_shape_proxy,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,loss_shape_proxy_minimal,rep_volatility_atr,Tier A,tier_only_total,mt5_ta_s262_lih_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_03_s262_lih_loss_shape_proxy_ta_2024.set,b7926ba8d0f5b1faec6ef14968d3ee81c8960794e48cda504c9f6f70a81309c2,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_03_s262_lih_loss_shape_proxy_ta_2024.ini,6e4c0dcf04bc8363908826e8d1601864d11323c6c665fb4ced8f482dc5f1e0a5,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s262_lih/run267cf_03_s262_lih_loss_shape_proxy/telemetry/run267cf_03_s262_lih_loss_shape_proxy_ta_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s262_lih/run267cf_03_s262_lih_loss_shape_proxy/telemetry/run267cf_03_s262_lih_loss_shape_proxy_ta_2024_summary.csv,not_executed
run267cf_03_s262_lih_loss_shape_proxy_rt_2024,run267cf_03_s262_lih_loss_shape_proxy,s262_lowrank_inner_half_filter,s262_lih,validation_heavy,loss_shape_proxy_minimal,rep_volatility_atr,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s262_lih_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_03_s262_lih_loss_shape_proxy_rt_2024.set,feda29d449508ac506aabdf4bd19945d61cfa5522787936772e3343097029ded,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_03_s262_lih_loss_shape_proxy_rt_2024.ini,8f2e73cdac38d692b400a0ae07fd8931a1737011f6138c1ddd2ba18c75fa47b9,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s262_lih/run267cf_03_s262_lih_loss_shape_proxy/telemetry/run267cf_03_s262_lih_loss_shape_proxy_rt_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s262_lih/run267cf_03_s262_lih_loss_shape_proxy/telemetry/run267cf_03_s262_lih_loss_shape_proxy_rt_2024_summary.csv,not_executed
run267cf_04_s264_aia_loss_shape_proxy_ta_2024,run267cf_04_s264_aia_loss_shape_proxy,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,loss_shape_proxy_minimal,rep_volatility_atr,Tier A,tier_only_total,mt5_ta_s264_aia_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_04_s264_aia_loss_shape_proxy_ta_2024.set,db883b6a91ce6517b698c7fb39521f2c554a1ab5b80009a358ddf1c837d07cda,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_04_s264_aia_loss_shape_proxy_ta_2024.ini,23e1e2f8831cb76892cb7d3083d634762c2af0d5106ca067842fa524570da979,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aia/run267cf_04_s264_aia_loss_shape_proxy/telemetry/run267cf_04_s264_aia_loss_shape_proxy_ta_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aia/run267cf_04_s264_aia_loss_shape_proxy/telemetry/run267cf_04_s264_aia_loss_shape_proxy_ta_2024_summary.csv,not_executed
run267cf_04_s264_aia_loss_shape_proxy_rt_2024,run267cf_04_s264_aia_loss_shape_proxy,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,loss_shape_proxy_minimal,rep_volatility_atr,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aia_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_04_s264_aia_loss_shape_proxy_rt_2024.set,a4a920ae99a0fddb91ee6d8667dea96b0d047c749d03a4df73b62cf3716a428f,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_04_s264_aia_loss_shape_proxy_rt_2024.ini,33e1c1cccac83d94bc1412cdd89847fda6cb20cc5d3663a321a43db3472f25a8,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aia/run267cf_04_s264_aia_loss_shape_proxy/telemetry/run267cf_04_s264_aia_loss_shape_proxy_rt_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s264_aia/run267cf_04_s264_aia_loss_shape_proxy/telemetry/run267cf_04_s264_aia_loss_shape_proxy_rt_2024_summary.csv,not_executed
run267cf_05_s258_stc_loss_shape_proxy_ta_2024,run267cf_05_s258_stc_loss_shape_proxy,s258_short_tight_control,s258_stc,stress_challenger,loss_shape_proxy_minimal,rep_trend_strength_adx,Tier A,tier_only_total,mt5_ta_s258_stc_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_05_s258_stc_loss_shape_proxy_ta_2024.set,4e243f4254c4accfde89c58491370565e520b7d52ecd66aa2bfd01b2b6a862c7,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_05_s258_stc_loss_shape_proxy_ta_2024.ini,84ec7fa593a9bc7e839c02b7575a848249e8f4d2a5bc8eea49b4e389ee32d941,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s258_stc/run267cf_05_s258_stc_loss_shape_proxy/telemetry/run267cf_05_s258_stc_loss_shape_proxy_ta_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s258_stc/run267cf_05_s258_stc_loss_shape_proxy/telemetry/run267cf_05_s258_stc_loss_shape_proxy_ta_2024_summary.csv,not_executed
run267cf_05_s258_stc_loss_shape_proxy_rt_2024,run267cf_05_s258_stc_loss_shape_proxy,s258_short_tight_control,s258_stc,stress_challenger,loss_shape_proxy_minimal,rep_trend_strength_adx,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s258_stc_loss_shape_proxy,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_05_s258_stc_loss_shape_proxy_rt_2024.set,3abf7ea75c8f716d07c05b53043bad2b21d0ce845704858b4a6b0660b0c75b43,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CF/pool_wide_orthogonal_loss_shape_state_materialization/mt5/run267cf_05_s258_stc_loss_shape_proxy_rt_2024.ini,1c328b71c63a555f7a963e1e491b7c3f0ffd75f8bb7cf514b3b44d04061c254c,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s258_stc/run267cf_05_s258_stc_loss_shape_proxy/telemetry/run267cf_05_s258_stc_loss_shape_proxy_rt_2024_telemetry.csv,OPV2/s267cf/run267CF_orthogonal_loss_shape_state/s258_stc/run267cf_05_s258_stc_loss_shape_proxy/telemetry/run267cf_05_s258_stc_loss_shape_proxy_rt_2024_summary.csv,not_executed
