variant_id,gate_column,gate_type,block_mode,source_feature,gated_feature,total_rows,blocked_rows,blocked_ratio,missing_context_rows,blocked_reason_counts,context_source,gate_description,split
s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52,stage128_gate_both_h2_sl2075_tp40,weak_session_or_et40_mid_margin_block,both,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52/features/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_val.csv,9844,202,0.02052011377,0,"{""et40_mid_margin"": 122, ""weak_session_165_275"": 80}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: both side gate with shorter lifecycle.,validation_is
s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52,stage128_gate_both_h2_sl2075_tp40,weak_session_or_et40_mid_margin_block,both,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52/features/s128_v41_h2_bothgate_sl2075_tp40_risk035_sht54_lng52_oos.csv,7584,168,0.02215189873,0,"{""et40_mid_margin"": 97, ""weak_session_165_275"": 71}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: both side gate with shorter lifecycle.,oos
s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52,stage128_gate_both_h2_sl180_tp320,weak_session_or_et40_mid_margin_block,both,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52/features/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_val.csv,9844,202,0.02052011377,0,"{""et40_mid_margin"": 122, ""weak_session_165_275"": 80}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: both side gate with shorter lifecycle and tighter ATR bracket.,validation_is
s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52,stage128_gate_both_h2_sl180_tp320,weak_session_or_et40_mid_margin_block,both,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52/features/s128_v41_h2_bothgate_sl180_tp320_risk035_sht54_lng52_oos.csv,7584,168,0.02215189873,0,"{""et40_mid_margin"": 97, ""weak_session_165_275"": 71}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: both side gate with shorter lifecycle and tighter ATR bracket.,oos
s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52,stage128_gate_short_h2_sl2075_tp40,weak_session_or_et40_mid_margin_block,short,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52/features/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52_val.csv,9844,202,0.02052011377,0,"{""et40_mid_margin"": 122, ""weak_session_165_275"": 80}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: short side gate with shorter lifecycle.,validation_is
s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52,stage128_gate_short_h2_sl2075_tp40,weak_session_or_et40_mid_margin_block,short,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52/features/s128_v41_h2_shortgate_sl2075_tp40_risk035_sht54_lng52_oos.csv,7584,168,0.02215189873,0,"{""et40_mid_margin"": 97, ""weak_session_165_275"": 71}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: short side gate with shorter lifecycle.,oos
s128_v41_h2_shortgate_sl180_tp320_risk035_sht54_lng52,stage128_gate_short_h2_sl180_tp320,weak_session_or_et40_mid_margin_block,short,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_shortgate_sl180_tp320_risk035_sht54_lng52/features/s128_v41_h2_shortgate_sl180_tp320_risk035_sht54_lng52_val.csv,9844,202,0.02052011377,0,"{""et40_mid_margin"": 122, ""weak_session_165_275"": 80}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: short side gate with shorter lifecycle and tighter ATR bracket.,validation_is
s128_v41_h2_shortgate_sl180_tp320_risk035_sht54_lng52,stage128_gate_short_h2_sl180_tp320,weak_session_or_et40_mid_margin_block,short,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/128_adapter_research__v41_quality_reframe_after_shortgate_failure/02_runs/run128A/s128_v41_h2_shortgate_sl180_tp320_risk035_sht54_lng52/features/s128_v41_h2_shortgate_sl180_tp320_risk035_sht54_lng52_oos.csv,7584,168,0.02215189873,0,"{""et40_mid_margin"": 97, ""weak_session_165_275"": 71}",data/processed/datasets/dataset_fpmarkets_v2_us100_m5_20220901_20260413_cashopen_fullcash_proxyw58/features.parquet,Stage128 quality-density reframe: short side gate with shorter lifecycle and tighter ATR bracket.,oos
