candidate_id,candidate_label,split,enabled_surfaces,thresholds,entry_permission_rule,abstention_rule,fallback_rule,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,validation_trade_count,oos_trade_count,no_trade_rate,abstention_rate,thinning_ratio_vs_reference,long_count,short_count,candidate_rejection_reason
c01_no_overlap_reference,carry/reference no-overlap,validation_is,reference_no_overlap,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,not enabled,Tier A primary + Tier B fallback,7327,1478,8805,8805,,0.27887,0,1,6224,2581,mt5_pending
c01_no_overlap_reference,carry/reference no-overlap,oos,reference_no_overlap,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,not enabled,Tier A primary + Tier B fallback,5889,732,6621,,6621,0.234212,0,1,4645,1976,mt5_pending
c02_permission_only,permission only,validation_is,permission,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,7753,987,8740,8740,,0.284193,0,0.992618,4386,4354,mt5_pending
c02_permission_only,permission only,oos,permission,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,6091,685,6776,,6776,0.216285,0,1.02341,3280,3496,mt5_pending
c03_abstention_only,abstention only,validation_is,abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,8393,1140,9533,9533,,0.219247,0.219247,1.08268,5216,4317,mt5_pending
c03_abstention_only,abstention only,oos,abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,6519,609,7128,,7128,0.175573,0.175573,1.07657,3926,3202,mt5_pending
c04_permission_abstention,permission + abstention overlap,validation_is,permission+abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,6595,558,7153,7153,,0.414169,0.219247,0.812379,3763,3390,mt5_pending
c04_permission_abstention,permission + abstention overlap,oos,permission+abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,5185,430,5615,,5615,0.350567,0.175573,0.848059,2871,2744,mt5_pending
c05_permission_entropy,permission + entropy,validation_is,permission+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,5841,719,6560,6560,,0.462735,0,0.745031,3337,3223,mt5_pending
c05_permission_entropy,permission + entropy,oos,permission+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,4585,485,5070,,5070,0.413602,0,0.765745,2541,2529,mt5_pending
c06_permission_tail,permission + tail pressure,validation_is,permission+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,4248,777,5025,5025,,0.588452,0,0.570698,2722,2303,mt5_pending
c06_permission_tail,permission + tail pressure,oos,permission+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,3292,438,3730,,3730,0.568587,0,0.563359,1972,1758,mt5_pending
c07_permission_ebm,permission + EBM direction,validation_is,permission+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,3587,440,4027,4027,,0.670188,0,0.457354,2764,1263,mt5_pending
c07_permission_ebm,permission + EBM direction,oos,permission+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2846,294,3140,,3140,0.636826,0,0.474249,2104,1036,mt5_pending
c08_permission_abstention_entropy,permission + abstention + entropy,validation_is,permission+abstention+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,5083,423,5506,5506,,0.549058,0.219247,0.625327,2911,2595,mt5_pending
c08_permission_abstention_entropy,permission + abstention + entropy,oos,permission+abstention+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,3984,298,4282,,4282,0.504742,0.175573,0.64673,2253,2029,mt5_pending
c09_permission_abstention_tail,permission + abstention + tail pressure,validation_is,permission+abstention+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,3464,434,3898,3898,,0.680753,0.219247,0.442703,2305,1593,mt5_pending
c09_permission_abstention_tail,permission + abstention + tail pressure,oos,permission+abstention+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,2704,279,2983,,2983,0.654985,0.175573,0.450536,1713,1270,mt5_pending
c10_permission_abstention_ebm,permission + abstention + EBM direction,validation_is,permission+abstention+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,3123,272,3395,3395,,0.721949,0.219247,0.385576,2375,1020,mt5_pending
c10_permission_abstention_ebm,permission + abstention + EBM direction,oos,permission+abstention+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,2502,182,2684,,2684,0.689567,0.175573,0.405377,1841,843,mt5_pending
c11_permission_entropy_tail,permission + entropy + tail pressure,validation_is,permission+entropy+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2486,557,3043,3043,,0.750778,0,0.345599,1740,1303,mt5_pending
c11_permission_entropy_tail,permission + entropy + tail pressure,oos,permission+entropy+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,1908,290,2198,,2198,0.745778,0,0.331974,1294,904,mt5_pending
c12_permission_entropy_ebm,permission + entropy + EBM direction,validation_is,permission+entropy+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2806,325,3131,3131,,0.743571,0,0.355593,2115,1016,mt5_pending
c12_permission_entropy_ebm,permission + entropy + EBM direction,oos,permission+entropy+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,2221,216,2437,,2437,0.718136,0,0.368071,1619,818,mt5_pending
c13_permission_tail_ebm,permission + tail pressure + EBM direction,validation_is,permission+tail+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,1890,346,2236,2236,,0.816871,0,0.253947,1768,468,mt5_pending
c13_permission_tail_ebm,permission + tail pressure + EBM direction,oos,permission+tail+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,1512,174,1686,,1686,0.804997,0,0.254644,1378,308,mt5_pending
c14_permission_abstention_entropy_tail,permission + abstention + entropy + tail pressure,validation_is,permission+abstention+entropy+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,2063,324,2387,2387,,0.804505,0.219247,0.271096,1504,883,mt5_pending
c14_permission_abstention_entropy_tail,permission + abstention + entropy + tail pressure,oos,permission+abstention+entropy+tail,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,1611,180,1791,,1791,0.792852,0.175573,0.270503,1153,638,mt5_pending
c15_permission_abstention_entropy_ebm,permission + abstention + entropy + EBM direction,validation_is,permission+abstention+entropy+ebm,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,2470,214,2684,2684,,0.78018,0.219247,0.304827,1841,843,mt5_pending
