candidate_id,candidate_label,split,enabled_surfaces,thresholds,entry_permission_rule,abstention_rule,fallback_rule,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,validation_trade_count,oos_trade_count,no_trade_rate,abstention_rate,thinning_ratio_vs_reference,long_count,short_count,candidate_rejection_reason,net_profit,profit_factor,max_drawdown,expectancy,win_rate,trade_count,order_attempt_count,fill_count,tier_a_used_count_mt5,tier_b_fallback_used_count_mt5,actual_routed_total_count_mt5,tester_report_path
c01_no_overlap_reference,carry/reference no-overlap,validation_is,reference_no_overlap,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,not enabled,Tier A primary + Tier B fallback,7327,1478,8805,8805,,0.27887,0,1,6224,2581,oos_net_not_positive;oos_pf_below_1_05;tier_b_fallback_carrying_too_much,334.73,1.08,461.48,0.25,49.41,1356,1980,1980,7327,1478,1980,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c01_no_overlap_reference_validation_is.htm
c01_no_overlap_reference,carry/reference no-overlap,oos,reference_no_overlap,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,not enabled,Tier A primary + Tier B fallback,5889,732,6621,,6621,0.234212,0,1,4645,1976,oos_net_not_positive;oos_pf_below_1_05;tier_b_fallback_carrying_too_much,-494.46,0.86,684.17,-0.5,48.37,982,1409,1409,5680,727,1409,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c01_no_overlap_reference_oos.htm
c02_permission_only,permission only,validation_is,permission,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,7753,987,8740,8740,,0.284193,0,0.992618,4386,4354,validation_net_not_positive;validation_pf_below_1_05,-37.74,0.99,420.71,-0.02,43.16,1659,2129,2129,7753,987,2129,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c02_permission_only_validation_is.htm
c02_permission_only,permission only,oos,permission,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,6091,685,6776,,6776,0.216285,0,1.02341,3280,3496,validation_net_not_positive;validation_pf_below_1_05,160.98,1.05,376.35,0.14,45.69,1171,1543,1543,6091,685,1543,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c02_permission_only_oos.htm
c03_abstention_only,abstention only,validation_is,abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,8393,1140,9533,9533,,0.219247,0.219247,1.08268,5216,4317,validation_net_not_positive;validation_pf_below_1_05,-494.9,0.89,927.64,-0.33,52.08,1513,2109,2109,8359,1136,2109,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c03_abstention_only_validation_is.htm
c03_abstention_only,abstention only,oos,abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",reference surface only,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,6519,609,7128,,7128,0.175573,0.175573,1.07657,3926,3202,validation_net_not_positive;validation_pf_below_1_05,151.91,1.05,352.69,0.13,53.77,1153,1552,1552,6519,609,1552,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c03_abstention_only_oos.htm
c04_permission_abstention,permission + abstention overlap,validation_is,permission+abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,6595,558,7153,7153,,0.414169,0.219247,0.812379,3763,3390,validation_net_not_positive;validation_pf_below_1_05,-183.08,0.96,477.31,-0.12,42.8,1514,1975,1975,6595,558,1975,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c04_permission_abstention_validation_is.htm
c04_permission_abstention,permission + abstention overlap,oos,permission+abstention,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,stage30 p_flat max plus calibrated margin min,Tier A primary + Tier B fallback,5185,430,5615,,5615,0.350567,0.175573,0.848059,2871,2744,validation_net_not_positive;validation_pf_below_1_05,225.54,1.07,382.27,0.21,47.61,1069,1437,1437,5185,430,1437,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c04_permission_abstention_oos.htm
c05_permission_entropy,permission + entropy,validation_is,permission+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,5841,719,6560,6560,,0.462735,0,0.745031,3337,3223,validation_pf_below_1_05,61.09,1.01,464.96,0.04,43.6,1413,1899,1899,5841,719,1899,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c05_permission_entropy_validation_is.htm
c05_permission_entropy,permission + entropy,oos,permission+entropy,"{""calibrated_margin_min"": -0.4565284621011828, ""ebm_abs_min"": 0.04311919616776817, ""entropy_max"": 0.9954933993842906, ""p_flat_max"": 0.6559295878030716, ""permission_score_min"": -0.12683025158113814, ""tail_pressure_max"": 0.005053906118410228}",stage23 permission_score loose threshold,not enabled,Tier A primary + Tier B fallback,4585,485,5070,,5070,0.413602,0,0.765745,2541,2529,validation_pf_below_1_05,420.56,1.14,257.68,0.42,48.9,998,1381,1381,4585,485,1381,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Experts/Project_Obsidian_Prime_v2/stages/38_decision_layer__permission_abstention_overlap/02_runs/run32A_permission_abstention_overlap_broad_mt5_probe_v1/mt5/reports/Project_Obsidian_Prime_v2_run32A_permission_abstention_overlap_broad_mt5_probe_v1_routed_c05_permission_entropy_oos.htm
