symbol,broker_symbol,required_for_forward_gate,row_count,csv_row_count,first_open_utc,last_open_utc,requested_to_utc,end_gap_hours,complete_to_requested_end,duplicate_open_times,non_monotonic_steps,largest_gap_seconds,timezone_status,csv_path,manifest_path
US100,US100,yes,8232,8232,2026-04-14T01:00:00Z,2026-05-25T19:55:00Z,2026-05-25T21:05:00Z,1.17,yes,0,0,176700,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US100/bars_us100_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US100/bars_us100_m5_mt5api_raw.manifest.json
VIX,VIX,yes,7357,7357,2026-04-14T01:00:00Z,2026-05-25T18:25:00Z,2026-05-25T21:05:00Z,2.67,yes,0,0,177000,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/VIX/bars_vix_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/VIX/bars_vix_m5_mt5api_raw.manifest.json
US10YR,US10YR,yes,1989,1989,2026-04-14T01:00:00Z,2026-04-24T23:55:00Z,2026-05-25T21:05:00Z,741.17,no,0,0,176700,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US10YR/bars_us10yr_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/US10YR/bars_us10yr_m5_mt5api_raw.manifest.json
USDX,USDX,yes,2484,2484,2026-04-14T03:00:00Z,2026-05-25T21:05:00Z,2026-05-25T21:05:00Z,0.0,yes,0,0,2603400,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/USDX/bars_usdx_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/USDX/bars_usdx_m5_mt5api_raw.manifest.json
NVDA,NVDA.xnas,supporting_context,702,702,2026-04-14T16:30:00Z,2026-04-24T22:55:00Z,2026-05-25T21:05:00Z,742.17,no,0,0,236100,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/NVDA/bars_nvda_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/NVDA/bars_nvda_xnas_m5_mt5api_raw.manifest.json
AAPL,AAPL.xnas,supporting_context,702,702,2026-04-14T16:30:00Z,2026-04-24T22:55:00Z,2026-05-25T21:05:00Z,742.17,no,0,0,236100,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AAPL/bars_aapl_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AAPL/bars_aapl_xnas_m5_mt5api_raw.manifest.json
MSFT,MSFT.xnas,supporting_context,702,702,2026-04-14T16:30:00Z,2026-04-24T22:55:00Z,2026-05-25T21:05:00Z,742.17,no,0,0,236100,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/MSFT/bars_msft_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/MSFT/bars_msft_xnas_m5_mt5api_raw.manifest.json
AMZN,AMZN.xnas,supporting_context,702,702,2026-04-14T16:30:00Z,2026-04-24T22:55:00Z,2026-05-25T21:05:00Z,742.17,no,0,0,236100,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMZN/bars_amzn_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMZN/bars_amzn_xnas_m5_mt5api_raw.manifest.json
AMD,AMD.xnas,supporting_context,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-25T21:05:00Z,70.17,no,0,0,236100,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMD/bars_amd_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/AMD/bars_amd_xnas_m5_mt5api_raw.manifest.json
GOOGL.xnas,GOOGL.xnas,supporting_context,2262,2262,2026-04-14T16:30:00Z,2026-05-22T22:55:00Z,2026-05-25T21:05:00Z,70.17,no,0,0,236100,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/GOOGL.xnas/bars_googl_xnas_m5_mt5api_raw.manifest.json
META,META.xnas,supporting_context,702,702,2026-04-14T16:30:00Z,2026-04-24T22:55:00Z,2026-05-25T21:05:00Z,742.17,no,0,0,236100,UNRESOLVED_REQUIRES_MANUAL_BINDING,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/META/bars_meta_xnas_m5_mt5api_raw.csv,stages/326_forward__cp322a_frozen_forward_gate/01_inputs/raw_m5/META/bars_meta_xnas_m5_mt5api_raw.manifest.json
