run_id,source_variant_id,feature_selector,direction_mode,threshold_quantile,min_margin,status,attempt_count,kpi_record_count
run03H_et_v01_tier_balance_mt5_v1,v01_base_leaf20_q90,all58,both,0.9,0,completed,6,10
run03H_et_v02_tier_balance_mt5_v1,v02_dense_leaf10_q90,all58,both,0.9,0,completed,6,10
run03H_et_v03_tier_balance_mt5_v1,v03_smooth_leaf40_q90,all58,both,0.9,0,completed,6,10
run03H_et_v04_tier_balance_mt5_v1,v04_log2_features_leaf20_q90,all58,both,0.9,0,completed,6,10
run03H_et_v05_tier_balance_mt5_v1,v05_half_features_leaf20_q90,all58,both,0.9,0,completed,6,10
run03H_et_v06_tier_balance_mt5_v1,v06_entropy_leaf20_q90,all58,both,0.9,0,completed,6,10
run03H_et_v07_tier_balance_mt5_v1,v07_balanced_subsample_leaf20_q90,all58,both,0.9,0,completed,6,10
run03H_et_v08_tier_balance_mt5_v1,v08_depth12_leaf20_q90,all58,both,0.9,0,completed,6,10
run03H_et_v09_tier_balance_mt5_v1,v09_depth8_leaf10_q90,all58,both,0.9,0,completed,6,10
run03H_et_v10_tier_balance_mt5_v1,v10_bootstrap70_leaf20_q90,all58,both,0.9,0,completed,6,10
run03H_et_v11_tier_balance_mt5_v1,v11_base_leaf20_q85,all58,both,0.85,0,completed,6,10
run03H_et_v12_tier_balance_mt5_v1,v12_base_leaf20_q95,all58,both,0.95,0,completed,6,10
run03H_et_v13_tier_balance_mt5_v1,v13_base_margin002_q90,all58,both,0.9,0.02,completed,6,10
run03H_et_v14_tier_balance_mt5_v1,v14_base_margin005_q90,all58,both,0.9,0.05,completed,6,10
run03H_et_v15_tier_balance_mt5_v1,v15_base_short_only_q90,all58,short_only,0.9,0,completed,6,10
run03H_et_v16_tier_balance_mt5_v1,v16_base_long_only_q90,all58,long_only,0.9,0,completed,6,10
run03H_et_v17_tier_balance_mt5_v1,v17_top30_features_q90,top30_from_train_importance,both,0.9,0,completed,6,10
run03H_et_v18_tier_balance_mt5_v1,v18_core42_features_q90,core42,both,0.9,0,completed,6,10
run03H_et_v19_tier_balance_mt5_v1,v19_context16_features_q90,context16,both,0.9,0,completed,6,10
run03H_et_v20_tier_balance_mt5_v1,v20_base_inverse_q90,all58,inverse,0.9,0,completed,6,10
