run_id,record_view,split,tier_scope,route_role,trade_count,avg_hold_bars,mfe_mean,mae_mean,long_net_profit,short_net_profit,positive_month_ratio,status
run03H_et_v01_tier_balance_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,227,26.2247,10.7408,10.428,-29.27,-58.77,0.555556,trade_attribution_recorded
run03H_et_v01_tier_balance_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,77,306.39,16.5987,11.3657,191.39,-20.86,0.666667,trade_attribution_recorded
run03H_et_v01_tier_balance_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,306,24.3627,9.08306,9.01938,-45.42,-33.36,0.555556,trade_attribution_recorded
run03H_et_v01_tier_balance_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,163,12.546,10.2907,7.72588,186.2,172.39,1,trade_attribution_recorded
run03H_et_v01_tier_balance_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,81,364.309,21.3977,18.5847,-25.73,-171.19,0.285714,trade_attribution_recorded
run03H_et_v01_tier_balance_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,264,17.2008,9.07393,6.57454,170.1,311.99,1,trade_attribution_recorded
run03H_et_v02_tier_balance_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,111,29.3803,7.67784,11.7702,-383.96,-127.7,0,trade_attribution_recorded
run03H_et_v02_tier_balance_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,78,336.333,15.6098,12.5871,72.42,25.54,0.777778,trade_attribution_recorded
run03H_et_v02_tier_balance_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,304,25.5789,8.61415,9.33897,-90.88,-250.46,0.222222,trade_attribution_recorded
run03H_et_v02_tier_balance_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,164,12.7073,9.8196,8.27944,81.28,76.79,0.571429,trade_attribution_recorded
run03H_et_v02_tier_balance_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,87,351.287,20.861,18.2699,37.37,-195.29,0.285714,trade_attribution_recorded
run03H_et_v02_tier_balance_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,266,22.485,8.8651,7.121,79.51,159.19,0.857143,trade_attribution_recorded
run03H_et_v03_tier_balance_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,231,23.2857,11.2823,9.8224,-129.35,-183.2,0.444444,trade_attribution_recorded
run03H_et_v03_tier_balance_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,66,332.227,17.4719,9.53955,195.74,62.02,0.666667,trade_attribution_recorded
run03H_et_v03_tier_balance_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,302,20.4768,9.63997,8.494,-130.8,-172.98,0.444444,trade_attribution_recorded
run03H_et_v03_tier_balance_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,166,17.3855,10.2111,8.24985,172.93,101.51,0.857143,trade_attribution_recorded
run03H_et_v03_tier_balance_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,65,398.215,22.184,18.1232,-30.7,-116.06,0.428571,trade_attribution_recorded
run03H_et_v03_tier_balance_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,251,21.0398,9.09656,7.22201,174.05,149.28,0.857143,trade_attribution_recorded
run03H_et_v04_tier_balance_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,232,31.7026,11.426,10.1182,12.82,-58.22,0.444444,trade_attribution_recorded
run03H_et_v04_tier_balance_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,71,355.268,17.6906,12.117,177.65,-85.86,0.555556,trade_attribution_recorded
run03H_et_v04_tier_balance_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,308,30.5617,9.5829,9.16998,-28.8,-98.75,0.444444,trade_attribution_recorded
run03H_et_v04_tier_balance_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,161,12.6708,10.3522,8.05036,152.92,51.47,0.857143,trade_attribution_recorded
run03H_et_v04_tier_balance_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,72,395.111,22.27,18.0499,52.11,-183.36,0.285714,trade_attribution_recorded
run03H_et_v04_tier_balance_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,251,15.8685,8.68398,7.10046,115.03,80.52,0.714286,trade_attribution_recorded
run03H_et_v05_tier_balance_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,217,39.3272,10.5984,10.6915,64.51,-195.74,0.444444,trade_attribution_recorded
run03H_et_v05_tier_balance_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,74,384.432,17.2517,12.9137,156.39,76.01,0.555556,trade_attribution_recorded
run03H_et_v05_tier_balance_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,290,41.1897,9.43773,9.18398,51.21,-98.26,0.444444,trade_attribution_recorded
run03H_et_v05_tier_balance_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,158,19.4557,9.69361,8.67103,89.92,90.82,0.714286,trade_attribution_recorded
run03H_et_v05_tier_balance_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,75,344.067,19.5445,18.8492,-75.14,-195.35,0.285714,trade_attribution_recorded
run03H_et_v05_tier_balance_mt5_v1,mt5_routed_total_oos,oos,Tier A+B,routed_total,245,25.4286,8.91775,7.2993,107.29,165.61,0.857143,trade_attribution_recorded
run03H_et_v06_tier_balance_mt5_v1,mt5_tier_a_only_validation_is,validation,Tier A,tier_only_total,231,23.8139,10.151,10.4849,-88.27,-214.63,0.333333,trade_attribution_recorded
run03H_et_v06_tier_balance_mt5_v1,mt5_tier_b_fallback_only_validation_is,validation,Tier B,tier_b_fallback_only_total,72,324.569,16.7771,10.7535,230.71,1.41,0.555556,trade_attribution_recorded
run03H_et_v06_tier_balance_mt5_v1,mt5_routed_total_validation_is,validation,Tier A+B,routed_total,305,21.4,8.69429,9.09383,-67.09,-228.07,0.333333,trade_attribution_recorded
run03H_et_v06_tier_balance_mt5_v1,mt5_tier_a_only_oos,oos,Tier A,tier_only_total,157,11.3185,10.0043,8.12222,108.99,78.37,0.714286,trade_attribution_recorded
run03H_et_v06_tier_balance_mt5_v1,mt5_tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,73,382.027,21.9308,19.1211,49.1,-147.83,0.142857,trade_attribution_recorded
