run_id,source_variant_id,attempt_name,split,tier_scope,route_role,tester_status,runtime_status,report_status,net_profit,profit_factor,trade_count,report_path
run03H_et_v01_tier_balance_mt5_v1,v01_base_leaf20_q90,tier_a_only_validation_is,validation_is,Tier A,tier_only_total,completed,completed,completed,-88.04,0.93,227,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v01_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v01_tier_balance_mt5_v1_tier_a_only_validation_is.htm
run03H_et_v01_tier_balance_mt5_v1,v01_base_leaf20_q90,tier_b_fallback_only_validation_is,validation_is,Tier B,tier_b_fallback_only_total,completed,completed,completed,170.53,1.43,77,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v01_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v01_tier_balance_mt5_v1_tier_b_fallback_only_validation_is.htm
run03H_et_v01_tier_balance_mt5_v1,v01_base_leaf20_q90,routed_validation_is,validation_is,Tier A+B,routed_total,completed,completed,completed,-78.78,0.95,306,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v01_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v01_tier_balance_mt5_v1_routed_validation_is.htm
run03H_et_v01_tier_balance_mt5_v1,v01_base_leaf20_q90,tier_a_only_oos,oos,Tier A,tier_only_total,completed,completed,completed,358.59,1.62,163,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v01_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v01_tier_balance_mt5_v1_tier_a_only_oos.htm
run03H_et_v01_tier_balance_mt5_v1,v01_base_leaf20_q90,tier_b_fallback_only_oos,oos,Tier B,tier_b_fallback_only_total,completed,completed,completed,-196.92,0.78,81,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v01_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v01_tier_balance_mt5_v1_tier_b_fallback_only_oos.htm
run03H_et_v01_tier_balance_mt5_v1,v01_base_leaf20_q90,routed_oos,oos,Tier A+B,routed_total,completed,completed,completed,482.09,1.62,264,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v01_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v01_tier_balance_mt5_v1_routed_oos.htm
run03H_et_v02_tier_balance_mt5_v1,v02_dense_leaf10_q90,tier_a_only_validation_is,validation_is,Tier A,tier_only_total,completed,completed,completed,-511.66,0.39,111,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v02_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v02_tier_balance_mt5_v1_tier_a_only_validation_is.htm
run03H_et_v02_tier_balance_mt5_v1,v02_dense_leaf10_q90,tier_b_fallback_only_validation_is,validation_is,Tier B,tier_b_fallback_only_total,completed,completed,completed,97.96,1.23,78,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v02_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v02_tier_balance_mt5_v1_tier_b_fallback_only_validation_is.htm
run03H_et_v02_tier_balance_mt5_v1,v02_dense_leaf10_q90,routed_validation_is,validation_is,Tier A+B,routed_total,completed,completed,completed,-341.34,0.78,304,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v02_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v02_tier_balance_mt5_v1_routed_validation_is.htm
run03H_et_v02_tier_balance_mt5_v1,v02_dense_leaf10_q90,tier_a_only_oos,oos,Tier A,tier_only_total,completed,completed,completed,158.07,1.23,164,stages/12_model_family_challenge__extratrees_training_effect/02_runs/run03H_et_v02_tier_balance_mt5_v1/mt5/reports/Project_Obsidian_Prime_v2_run03H_et_v02_tier_balance_mt5_v1_tier_a_only_oos.htm
