run_id,group_column,group_value,trade_count,net_profit_after_cost,gross_profit_after_cost,gross_loss_after_cost,profit_factor_after_cost,expectancy_after_cost,win_count_after_cost,loss_count_after_cost,win_rate_after_cost_percent,min_trade_after_cost,max_trade_after_cost,median_hold_m5_calendar,max_hold_m5_calendar,claim_boundary
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-11,84,224.51,437.01,-212.5,2.056517647,2.672738,50,34,59.52381,-28.92,60.29,6.0,806,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-04,121,211.95,695.02,-483.07,1.438756288,1.751653,61,60,50.413223,-42.71,102.29,6.0,804,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2026-02,91,135.91,358.56,-222.65,1.610419942,1.493516,55,36,60.43956,-28.51,17.04,6.0,230,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-02,74,73.97,253.54,-179.57,1.411928496,0.999595,40,34,54.054054,-16.75,28.03,6.0,805,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-06,67,57.54,169.67,-112.13,1.513154374,0.858806,36,31,53.731343,-9.6,26.45,6.0,228,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-05,76,42.33,201.72,-159.39,1.265575005,0.556974,42,34,55.263158,-20.08,29.61,6.0,804,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-01,88,40.14,282.74,-242.6,1.165457543,0.456136,44,44,50.0,-17.23,35.88,6.0,1098,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-09,52,36.86,134.66,-97.8,1.376891616,0.708846,23,29,44.230769,-11.68,26.88,7.0,230,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-10,78,31.76,235.73,-203.97,1.155709173,0.407179,43,35,55.128205,-15.26,30.08,6.0,229,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2026-01,82,27.43,211.89,-184.46,1.148704326,0.334512,39,43,47.560976,-12.04,18.49,6.0,228,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2026-04,46,23.29,123.69,-100.4,1.231972112,0.506304,26,20,56.521739,-16.31,20.64,6.0,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-07,35,11.69,79.55,-67.86,1.172266431,0.334,19,16,54.285714,-10.78,19.37,7.0,230,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-03,8,8.71,21.76,-13.05,1.66743295,1.08875,4,4,50.0,-6.47,7.22,6.0,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2026-03,4,8.34,8.71,-0.37,23.540540541,2.085,2,2,50.0,-0.31,6.22,6.0,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-08,47,-0.37,109.75,-110.12,0.996640029,-0.007872,20,27,42.553191,-14.68,22.72,6.0,247,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,entry_month,2025-12,63,-33.7,141.77,-175.47,0.807944378,-0.534921,32,31,50.793651,-16.94,18.34,6.0,229,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
