run_id,trade_index,entry_time,exit_time,side,net_profit_after_cost,balance_after,closed_balance_drawdown_amount,closed_balance_drawdown_percent,hold_m5_calendar,claim_boundary
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,34,2025-01-10T19:05:00,2025-01-10T19:35:00,short,-7.43,426.11,71.78,14.416839,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,39,2025-01-13T20:50:00,2025-01-13T21:20:00,long,-6.55,432.23,65.66,13.187652,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,33,2025-01-10T18:30:00,2025-01-10T19:00:00,long,-4.05,433.54,64.35,12.924542,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,36,2025-01-13T18:05:00,2025-01-13T18:35:00,long,-1.2,434.03,63.86,12.826126,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,42,2025-01-14T17:50:00,2025-01-14T18:20:00,long,-6.95,435.1,62.79,12.611219,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,35,2025-01-13T17:20:00,2025-01-13T17:50:00,long,9.12,435.23,62.66,12.585109,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,46,2025-01-15T18:25:00,2025-01-15T18:55:00,long,-7.23,436.0,61.89,12.430457,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,32,2025-01-10T17:10:00,2025-01-10T17:40:00,short,-17.23,437.59,60.3,12.111109,6,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,37,2025-01-13T18:50:00,2025-01-13T19:25:00,long,3.77,437.8,60.09,12.068931,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BF_review_density_restore_stress_candidate_mt5_runtime_probe_without_db_v1,38,2025-01-13T20:05:00,2025-01-13T20:40:00,long,0.98,438.78,59.11,11.8721,7,research_development_mt5_runtime_probe_review_only_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
