record_type,feature_index,item_index,value,score_short,score_flat,score_long
intercept,-1,-1,,-0.18016504097980429,-0.14718703292385241,0
cut,0,0,-0.5,,,
cut,0,1,0.5,,,
score,0,0,,0,0,0
score,0,1,,0.24812051941364541,0.0079720240618990114,-0.27047963126963981
score,0,2,,-0.00079505971719102952,0.0052852123093307789,-0.00065007267653994691
score,0,3,,-0.45264805689074933,-0.33443033456655158,0.58479921815164115
score,0,4,,0,0,0
cut,1,0,0.5,,,
cut,1,1,1.5,,,
cut,1,2,2.5,,,
score,1,0,,0,0,0
score,1,1,,-0.16032115827607354,0.14509432737689887,0.044645581689525239
score,1,2,,0.26362388194069852,-0.26369690309805643,-0.042247070609686251
score,1,3,,0.55005969485327222,-0.47886801101422882,-0.17763938511374724
score,1,4,,0.78011783638937404,-0.63946350198448632,-0.29817143398206863
score,1,5,,0,0,0
cut,2,0,0.5,,,
cut,2,1,1.5,,,
score,2,0,,0,0,0
score,2,1,,-0.0025508245090203174,-0.00023429504917821882,0.0035773242457723684
score,2,2,,0.19870644353828534,0.0597095291897086,-0.27716433491060477
score,2,3,,-0.17831728123856408,-0.26008556014147355,0.24122668401690653
score,2,4,,0,0,0
cut,3,0,13.047600746154785,,,
cut,3,1,14.334038257598877,,,
cut,3,2,15.204872131347656,,,
cut,3,3,16.056653022766113,,,
cut,3,4,16.80323314666748,,,
cut,3,5,17.45524787902832,,,
cut,3,6,18.097109794616699,,,
cut,3,7,18.724605560302734,,,
cut,3,8,19.283627510070801,,,
cut,3,9,19.811806678771973,,,
cut,3,10,20.374255180358887,,,
cut,3,11,20.951473236083984,,,
cut,3,12,21.513334274291992,,,
cut,3,13,22.085512161254883,,,
cut,3,14,22.664056777954102,,,
cut,3,15,23.230297088623047,,,
cut,3,16,23.834548950195312,,,
cut,3,17,24.454257011413574,,,
cut,3,18,25.135722160339355,,,
cut,3,19,25.914843559265137,,,
cut,3,20,26.708145141601562,,,
cut,3,21,27.607204437255859,,,
cut,3,22,28.563857078552246,,,
cut,3,23,29.68226432800293,,,
cut,3,24,30.934930801391602,,,
cut,3,25,32.497461318969727,,,
cut,3,26,34.615589141845703,,,
cut,3,27,38.140586853027344,,,
cut,3,28,43.559650421142578,,,
score,3,0,,0,0,0
score,3,1,,-0.071807442548192241,0.07063418703374845,-0.0055535121186213923
score,3,2,,-0.040351313846448675,0.050277397075406599,-0.01138858794313243
score,3,3,,-0.040351313846448675,0.050277397075406599,-0.01138858794313243
score,3,4,,-0.029137734390765856,0.038732892848563245,-0.0094740607718301513
score,3,5,,-0.024187863971009985,0.035299628486291881,-0.010244483271259493
score,3,6,,-0.016222186351909994,0.027301322566162269,-0.0092594775080855739
score,3,7,,-0.0050889619198539815,0.012584930219407271,-0.0049516090062585397
score,3,8,,-0.0018785206179004613,0.007040480111533973,-0.0022930003212681908
score,3,9,,-0.002033079107814772,0.0082422686271211819,-0.0033961145893365587
score,3,10,,-0.0034028112320855178,0.01210766035688662,-0.0060949656417015365
score,3,11,,-0.0034118090049576576,0.014124566264929622,-0.0081031303273827286
score,3,12,,-0.0027678005781723294,0.014698829756394471,-0.0092475739300415961
score,3,13,,0.011910388215814041,-0.0024335784755253457,-0.0062484366601456912
score,3,14,,0.011910388215814041,-0.0024335784755253457,-0.0062484366601456912
score,3,15,,0.012965709434596502,0.0034911692883708486,-0.012770845935424067
score,3,16,,0.013781657174249815,0.0012823175347420309,-0.011457324676134199
score,3,17,,0.012896946574901699,0.0030521209018922676,-0.012255071932770964
score,3,18,,0.012570060399130032,0.0035196196466589546,-0.012372470554268256
score,3,19,,0.013590133818054505,0.00036091806614995444,-0.010454297980836349
score,3,20,,0.013140366282266343,0.003277479622672086,-0.012552950436278028
score,3,21,,0.013692860639941375,0.0036521961894584393,-0.013380537230141647
score,3,22,,0.018781488020439156,-0.0086099001119455051,-0.0072337232803570718
score,3,23,,0.018781488020439156,-0.0086099001119455051,-0.0072337232803570718
score,3,24,,0.022546694191150709,-0.020951685370785244,0.00073189615875777418
score,3,25,,0.018866821421129502,-0.02327047558869114,0.0060319143485338192
score,3,26,,0.017280724174300089,-0.028193208417105108,0.011446281605918776
score,3,27,,0.014307915732813103,-0.031669452731900652,0.016841499800555628
score,3,28,,0.0048437519808374489,-0.047229476987582578,0.036996057901646263
score,3,29,,-0.00014325869075157232,-0.056589730579749552,0.047751347931738831
score,3,30,,0.0089077034072345442,-0.12977505520524515,0.083668995767467849
score,3,31,,0,0,0
cut,4,0,10.439778804779053,,,
cut,4,1,11.524071216583252,,,
cut,4,2,12.284116744995117,,,
cut,4,3,12.93238639831543,,,
cut,4,4,13.539820194244385,,,
cut,4,5,14.052961826324463,,,
cut,4,6,14.547983646392822,,,
cut,4,7,15.01380443572998,,,
cut,4,8,15.465314865112305,,,
cut,4,9,15.872488021850586,,,
cut,4,10,16.214962959289551,,,
cut,4,11,16.622796058654785,,,
cut,4,12,17.07868480682373,,,
cut,4,13,17.479474067687988,,,
cut,4,14,17.939182281494141,,,
cut,4,15,18.378589630126953,,,
cut,4,16,18.895538330078125,,,
cut,4,17,19.41579532623291,,,
cut,4,18,19.951120376586914,,,
cut,4,19,20.470586776733398,,,
cut,4,20,20.996021270751953,,,
cut,4,21,21.657862663269043,,,
cut,4,22,22.303982734680176,,,
cut,4,23,23.026671409606934,,,
cut,4,24,24.037581443786621,,,
cut,4,25,25.283967018127441,,,
cut,4,26,27.008123397827148,,,
cut,4,27,29.140947341918945,,,
cut,4,28,32.586109161376953,,,
score,4,0,,0,0,0
score,4,1,,-0.025777855696510452,0.064432355261854327,-0.038237310919353923
score,4,2,,-0.025436888494634581,0.058046093028811765,-0.032013945601856109
score,4,3,,-0.025883500606418069,0.057966090789283366,-0.03153130787090086
score,4,4,,-0.017782640045213464,0.046823471013340306,-0.027999443176484631
score,4,5,,-0.015397399047075629,0.045926483229674263,-0.0292480258491844
score,4,6,,-0.0093944851782184844,0.038881645313629677,-0.02798833417559534
score,4,7,,-0.0066864868018217654,0.037814866924965468,-0.029383780233762966
score,4,8,,-0.0066864868018217654,0.037814866924965468,-0.029383780233762966
score,4,9,,-0.0041830745785981956,0.035191036772054748,-0.029095988420571761
score,4,10,,0.001282992155977869,0.029885937775715569,-0.028920072944165078
score,4,11,,0.0050886443324111687,0.02040481572535454,-0.023235033901428705
score,4,12,,0.0086868996151910783,0.0094640437903427809,-0.016023530524382282
score,4,13,,0.0086868996151910783,0.0094640437903427809,-0.016023530524382282
score,4,14,,0.012615582405233508,0.0031646681069238437,-0.013637185300204968
score,4,15,,0.012705298333021408,0.0020953487586319623,-0.012717504547830723
score,4,16,,0.013694240140647464,-0.0052941846358266209,-0.0066949321896177657
score,4,17,,0.018246434682109663,-0.019644749083291144,0.0025979241194126522
score,4,18,,0.01678764548384163,-0.019843254136265791,0.0041176976747033245
score,4,19,,0.012450461844437136,-0.021191652897504007,0.0093218809366993269
score,4,20,,0.010380037858670912,-0.020346438898624111,0.010483798099946977
score,4,21,,0.0046915782716384115,-0.018060534580484698,0.013754983294417829
score,4,22,,0.0026084407188024538,-0.018291583363759654,0.015877961948188669
score,4,23,,0.0016754846809198959,-0.018540425792433247,0.016952268843968249
score,4,24,,0.00614249726368459,-0.036953249033635352,0.030011455852236461
score,4,25,,0.0035186716466611735,-0.036833509062517512,0.032366978542816872
score,4,26,,0.0048031885071589883,-0.040978452994135973,0.034667360666189591
score,4,27,,0.0034333357779337851,-0.042941992249518723,0.037601519300313593
score,4,28,,0.0034333357779337851,-0.042941992249518723,0.037601519300313593
score,4,29,,0.00017811038842342324,-0.057483398113668135,0.051304143911924539
score,4,30,,-0.013828380376690829,-0.098156098008229498,0.095546340469089525
score,4,31,,0,0,0
cut,5,0,0.92091071605682373,,,
cut,5,1,0.96608132123947144,,,
cut,5,2,0.99551403522491455,,,
cut,5,3,1.0182520747184753,,,
cut,5,4,1.0393686294555664,,,
cut,5,5,1.0613402128219604,,,
cut,5,6,1.0798667073249817,,,
cut,5,7,1.0995410084724426,,,
cut,5,8,1.1207160949707031,,,
cut,5,9,1.1411902904510498,,,
cut,5,10,1.1632435917854309,,,
cut,5,11,1.1884024739265442,,,
cut,5,12,1.2158356904983521,,,
cut,5,13,1.2420656085014343,,,
cut,5,14,1.2696001529693604,,,
cut,5,15,1.3003091216087341,,,
cut,5,16,1.3291193842887878,,,
cut,5,17,1.3575268387794495,,,
cut,5,18,1.3830714821815491,,,
cut,5,19,1.4096577763557434,,,
cut,5,20,1.4349581003189087,,,
cut,5,21,1.461380660533905,,,
cut,5,22,1.4858039617538452,,,
cut,5,23,1.5111489295959473,,,
cut,5,24,1.536905825138092,,,
cut,5,25,1.5681326985359192,,,
cut,5,26,1.599811851978302,,,
cut,5,27,1.6369975805282593,,,
cut,5,28,1.6951662302017212,,,
score,5,0,,0,0,0
score,5,1,,0.019058680201397043,-0.0030575822055401531,-0.015137505562211637
score,5,2,,0.026566088435546472,-0.0053962492599522122,-0.019271893429153478
score,5,3,,0.020809983871570001,-0.011816444225639884,-0.0073665916325691755
score,5,4,,0.01826390307945543,-0.013710505679647562,-0.003258081137745744
score,5,5,,0.01826390307945543,-0.013710505679647562,-0.003258081137745744
score,5,6,,0.01394919878359932,-0.011191186177935401,-0.001985933597163429
score,5,7,,0.011486586720161087,-0.010183683239792397,-0.0008064706924814011
score,5,8,,0.0023632073703098808,-0.0062162813231024803,0.0034025631501725662
score,5,9,,-0.0014158424133288413,-0.0037780162475736239,0.004381783773515998
score,5,10,,-0.0077131264621227852,0.0028492313213147966,0.0035085157649154841
score,5,11,,-0.011774089926538518,0.0093314038864240889,0.0008344031328864094
score,5,12,,-0.012121748879481174,0.01086243737100024,-0.00033695117576240793
score,5,13,,-0.0094668622674012604,0.0071866259383583939,0.00078497012126918248
score,5,14,,-0.0097944694680630676,0.0095191958273946539,-0.0011355264785548708
score,5,15,,-0.01036577933289564,0.013374631136534053,-0.004227556990959818
score,5,16,,-0.010936180711987566,0.011807458279903166,-0.0022124670481281274
score,5,17,,-0.0051242977844632425,0.00024611746792603572,0.0034520083692248555
score,5,18,,-0.0058237384119823668,0.0024960839065342878,0.0020639523391094861
score,5,19,,-0.0067942037495375323,0.0049298123967877619,0.00079016336645535454
score,5,20,,-0.0046372476094456135,-0.0022524524281010557,0.0055961687260305338
score,5,21,,-0.0048698756867049005,-0.003925848933446871,0.0073907417743053101
score,5,22,,-0.0037255703470674851,-0.0044582137359263641,0.0067964665580817086
score,5,23,,-0.0032799526256753536,-0.0044279547545701924,0.0063611120514939648
score,5,24,,-0.0024204369607129447,-0.0036654805847191559,0.0049325961643929394
score,5,25,,0.0019712699092803614,-0.0099880506374413758,0.0069250749738815377
score,5,26,,0.0059258734237157872,-0.012386278167461566,0.0057456432115321034
score,5,27,,0.0040716410712642887,-0.0064667754248234934,0.002743636266226558
score,5,28,,-0.0083121429305292264,0.01038959199537929,0.0010577172752185631
score,5,29,,-0.010307563018154744,0.014897800171326928,-0.00054181637091965293
