run_id,candidate_id,axis,segment_id,synthetic_short_net_profit,synthetic_short_profit_factor,synthetic_short_trade_count,synthetic_short_expectancy,synthetic_short_win_rate_percent,p_short_mean,margin_mean,segment_status,claim_boundary
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_hour(진입시),17,29.38,1.2655745708,36,0.816,52.7777777778,0.4549525397,0.0849170461,positive_clue(긍정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_hour(진입시),20,14.61,4.1559395248,6,2.4353333333,66.6666666667,0.4512358407,0.0946905961,positive_clue(긍정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-01,18.84,21.7717750827,3,6.28,66.6666666667,0.4480200509,0.0762410263,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-02,33.3,999.0,4,8.324,100.0,0.4546630904,0.0907786936,positive_clue(긍정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-03,-12.4,0.5314542638,7,-1.7715714286,42.8571428571,0.4574002751,0.0764544819,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-04,-22.65,0.2061205174,3,-7.549,33.3333333333,0.4519569675,0.0837075611,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-05,-4.93,0.0,1,-4.933,0.0,0.4491968453,0.0842685103,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-07,-2.86,0.0,1,-2.857,0.0,0.4677704275,0.1070936025,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-08,-7.67,0.5012360135,4,-1.91675,25.0,0.4608025849,0.1101220697,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-09,1.92,3.0338624339,2,0.961,50.0,0.4443713725,0.0759039819,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-10,3.48,999.0,1,3.48,100.0,0.440512538,0.0998188854,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-11,0.1,999.0,1,0.105,100.0,0.4744594991,0.1173634529,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2025-12,-10.07,0.452270873,2,-5.035,50.0,0.4608006031,0.0922856629,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2026-01,4.47,1.5521927116,3,1.49,33.3333333333,0.4566132824,0.088447094,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2026-02,37.6,11.2035278155,5,7.52,80.0,0.448725462,0.0822462678,positive_clue(긍정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_month(진입월),2026-03,4.85,1.9566074951,5,0.97,60.0,0.4532720745,0.0770061374,positive_clue(긍정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_quarter(진입분기),2025Q1,39.73,2.4515598743,14,2.8382142857,64.2857142857,0.4546081743,0.0805013733,positive_clue(긍정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_quarter(진입분기),2025Q2,-27.58,0.1757322176,4,-6.895,25.0,0.4512669369,0.0838477984,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_quarter(진입분기),2025Q3,-8.6,0.5513716491,7,-1.2288571429,28.5714285714,0.4571033589,0.099912835,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_quarter(진입분기),2025Q4,-6.49,0.6472667936,4,-1.62125,75.0,0.4591433108,0.100438416,watch_or_negative(관찰 또는 음수),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364BO_train_short_source_quality_repair_scout_without_db_v1,bo00_bn_seed_h17_or_h20_margin_08_10_reference,entry_quarter(진입분기),2026Q1,46.92,3.7845697329,13,3.6092307692,61.5384615385,0.4522944253,0.0816617929,positive_clue(긍정 단서),research_development_proxy_scout_only_rule_surface_no_new_model_artifact_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
