state_feature,state_bucket,focus_row_count,candidate_count,affected_candidate_aliases,affected_tests,weak_net_sum,enrichment_mean,materialization_read,run267AG_state_read,calendar_literal_filter_allowed,decision_effect
historical_vol_5_over_20,high,7,5,s258_stc;s262_lih;s264_aia;s264_aih;s264_lc,s258_stc:abl_price_return_range;s258_stc:abl_trend_strength_direction;s262_lih:rep_trend_strength_adx;s264_aia:rep_trend_strength_adx;s264_aia:rep_volatility_atr;s264_aih:abl_volatility_bandwidth;s264_lc:abl_gate_variant_rule,-2248.5,1.232435,broad_state_guard_candidate,shared_state_supported_for_bounded_followup,false,allow_bounded_state_guard_followup
abs_return_1_over_atr_14,high,5,4,s258_stc;s262_lih;s264_aia;s264_aih,s258_stc:abl_price_return_range;s262_lih:rep_trend_strength_adx;s264_aia:rep_trend_strength_adx;s264_aia:rep_volatility_atr;s264_aih:abl_volatility_bandwidth,-1269.18,1.212344,broad_state_guard_candidate,shared_state_supported_for_bounded_followup,false,allow_bounded_state_guard_followup
abs_di_spread_14,mid,4,3,s258_stc;s264_aia;s264_aih,s258_stc:abl_trend_strength_direction;s264_aia:rep_trend_strength_adx;s264_aia:rep_volatility_atr;s264_aih:abl_volatility_bandwidth,-346.53,1.234884,broad_state_guard_candidate,candidate_state_supported_with_boundary,false,allow_bounded_state_guard_followup
abs_di_spread_14,high,3,3,s258_stc;s262_lih;s264_lc,s258_stc:abl_price_return_range;s262_lih:rep_trend_strength_adx;s264_lc:abl_gate_variant_rule,-501.07,1.199896,broad_state_guard_candidate,candidate_state_supported_with_boundary,false,allow_bounded_state_guard_followup
atr_14_over_atr_50,high,3,3,s258_stc;s264_aih;s264_lc,s258_stc:abl_trend_strength_direction;s264_aih:abl_volatility_bandwidth;s264_lc:abl_gate_variant_rule,-352.89,1.178776,broad_state_guard_candidate,candidate_state_supported_with_boundary,false,allow_bounded_state_guard_followup
abs_return_zscore_20,high,3,2,s258_stc;s264_aia,s258_stc:abl_price_return_range;s264_aia:rep_trend_strength_adx;s264_aia:rep_volatility_atr,-855.19,1.180327,watch_state_guard_candidate,state_watch_only,false,keep_as_attribution_only
bollinger_width_20,mid,2,2,s264_aia;s264_aih,s264_aia:rep_trend_strength_adx;s264_aih:abl_volatility_bandwidth,-410.08,1.198675,watch_state_guard_candidate,state_watch_only,false,keep_as_attribution_only
