rule_id,rule_family,split,entry_time_available,direct_runtime_candidate,stress_question,base_trade_count,base_net_profit,base_profit_factor,kept_trade_count,kept_trade_share,kept_net_profit,kept_profit_factor,kept_win_rate_percent,kept_expectancy,kept_avg_hold_bars,removed_trade_count,removed_net_profit,removed_profit_factor,net_delta_vs_base,pf_delta_vs_base,sample_status
baseline_all_trades,reference,oos,True,False,original Tier A trade set(원래 티어 A 거래 묶음),51,62.65,1.224214,51,1.0,62.65,1.224214,54.901961,1.228431,273.72549,0,0.0,,0.0,0.0,ok
baseline_all_trades,reference,validation,True,False,original Tier A trade set(원래 티어 A 거래 묶음),77,208.01,1.771465,77,1.0,208.01,1.771465,57.142857,2.701429,270.0,0,0.0,,0.0,0.0,ok
exclude_adx_20_25,adx_regime,oos,True,True,remove ADX 20-25 bucket(ADX 20-25 버킷 제거),51,62.65,1.224214,37,0.72549,49.16,1.280866,54.054054,1.328649,309.405405,14,13.49,1.129227,-13.49,0.056652,ok
exclude_adx_20_25,adx_regime,validation,True,True,remove ADX 20-25 bucket(ADX 20-25 버킷 제거),77,208.01,1.771465,64,0.831169,245.95,2.259087,60.9375,3.842969,258.0,13,-37.94,0.489299,37.94,0.487622,ok
exclude_mid_or_short_hold,mixed_session_hold,oos,False,False,remove mid session or ex-post short holds(중간 세션 또는 사후 짧은 보유 제거),51,62.65,1.224214,24,0.470588,157.37,2.651312,66.666667,6.557083,374.791667,27,-94.72,0.485553,94.72,1.427098,sample_thin
exclude_mid_or_short_hold,mixed_session_hold,validation,False,False,remove mid session or ex-post short holds(중간 세션 또는 사후 짧은 보유 제거),77,208.01,1.771465,35,0.454545,96.17,1.614191,54.285714,2.747714,351.428571,42,111.84,1.989297,-111.84,-0.157274,sample_thin
exclude_mid_session,session_time,oos,True,True,remove mid session(중간 세션 제거),51,62.65,1.224214,29,0.568627,124.61,1.916722,58.62069,4.296897,312.241379,22,-61.96,0.568193,61.96,0.692508,ok
exclude_mid_session,session_time,validation,True,True,remove mid session(중간 세션 제거),77,208.01,1.771465,45,0.584416,90.07,1.483027,55.555556,2.001556,275.688889,32,117.94,2.41823,-117.94,-0.288438,ok
exclude_oos_negative_months_diag,calendar_diagnostic,oos,False,False,remove known OOS negative months for diagnosis only(알려진 표본외 음수 월만 진단용 제거),51,62.65,1.224214,22,0.431373,150.7,2.520533,63.636364,6.85,343.727273,29,-88.05,0.511674,88.05,1.296319,sample_thin
exclude_oos_negative_months_diag,calendar_diagnostic,validation,False,False,remove known OOS negative months for diagnosis only(알려진 표본외 음수 월만 진단용 제거),77,208.01,1.771465,77,1.0,208.01,1.771465,57.142857,2.701429,270.0,0,0.0,,0.0,0.0,ok
exclude_short_hold_0_12,hold_shape,oos,False,False,remove ex-post short holds(사후 짧은 보유 제거),51,62.65,1.224214,43,0.843137,109.92,1.491944,60.465116,2.556279,322.418605,8,-47.27,0.155591,47.27,0.26773,ok
exclude_short_hold_0_12,hold_shape,validation,False,False,remove ex-post short holds(사후 짧은 보유 제거),77,208.01,1.771465,60,0.779221,197.38,1.844226,56.666667,3.289667,343.4,17,10.63,1.296679,-10.63,0.072761,ok
exclude_vol_high,volatility_regime,oos,True,True,remove high volatility regime(고변동 구간 제거),51,62.65,1.224214,44,0.862745,96.34,1.403637,59.090909,2.189545,307.795455,7,-33.69,0.173049,33.69,0.179423,ok
exclude_vol_high,volatility_regime,validation,True,True,remove high volatility regime(고변동 구간 제거),77,208.01,1.771465,72,0.935065,173.37,1.642992,54.166667,2.407917,280.763889,5,34.64,,-34.64,-0.128473,ok
keep_hold_gt_96_only,hold_shape,oos,False,False,keep ex-post long holds only(사후 긴 보유만 유지),51,62.65,1.224214,27,0.529412,89.59,1.496619,59.259259,3.318148,500.111111,24,-26.94,0.727934,26.94,0.272405,ok
keep_hold_gt_96_only,hold_shape,validation,False,False,keep ex-post long holds only(사후 긴 보유만 유지),77,208.01,1.771465,41,0.532468,255.35,2.779691,63.414634,6.228049,491.853659,36,-47.34,0.624732,47.34,1.008226,ok
keep_late_session_only,session_time,oos,True,True,keep late session only(후반 세션만 유지),51,62.65,1.224214,16,0.313725,98.08,1.955666,56.25,6.13,406.9375,35,-35.43,0.799593,35.43,0.731452,sample_thin
keep_late_session_only,session_time,validation,True,True,keep late session only(후반 세션만 유지),77,208.01,1.771465,23,0.298701,62.26,1.642385,56.521739,2.706957,340.695652,54,145.75,1.8439,-145.75,-0.12908,sample_thin
