rule_id,split,removed_trade_count,removed_net_profit,removed_profit_factor,dominant_removed_session,dominant_removed_hold_bucket,dominant_removed_month
exclude_adx_20_25,oos,14,13.49,1.129227,late,hold_gt_96,2025-12
exclude_adx_20_25,validation,13,-37.94,0.489299,mid,hold_13_96,2025-09
exclude_mid_or_short_hold,oos,27,-94.72,0.485553,mid,hold_gt_96,2026-01
exclude_mid_or_short_hold,validation,42,111.84,1.989297,mid,hold_0_12,2025-05
exclude_mid_session,oos,22,-61.96,0.568193,mid,hold_gt_96,2026-01
exclude_mid_session,validation,32,117.94,2.41823,mid,hold_gt_96,2025-05
exclude_oos_negative_months_diag,oos,29,-88.05,0.511674,mid,hold_gt_96,2025-12
exclude_oos_negative_months_diag,validation,0,0.0,,none,none,none
exclude_short_hold_0_12,oos,8,-47.27,0.155591,early,hold_0_12,2025-12
exclude_short_hold_0_12,validation,17,10.63,1.296679,early,hold_0_12,2025-05
exclude_vol_high,oos,7,-33.69,0.173049,mid,hold_0_12,2025-12
exclude_vol_high,validation,5,34.64,,early,hold_0_12,2025-07
keep_hold_gt_96_only,oos,24,-26.94,0.727934,early,hold_13_96,2025-12
keep_hold_gt_96_only,validation,36,-47.34,0.624732,mid,hold_13_96,2025-07
keep_late_session_only,oos,35,-35.43,0.799593,mid,hold_13_96,2026-01
keep_late_session_only,validation,54,145.75,1.8439,mid,hold_gt_96,2025-07
