run_id,adapter_id,tier_scope,window_id,feature_file,from_date,to_date,window_rows,original_long_signals,original_short_signals,filtered_long_signals,filtered_short_signals,base_adx_removed_short_signals,firewall_removed_short_signals,adapter_blocked_long_signals,adapter_blocked_short_signals,rule_description,source_files
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier A,w01_2025q2,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_a_spf00_stage51_control_w01_2025q2_s53.csv,2025.04.01,2025.07.01,3597,61,72,61,40,11,21,0,0,no additional side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier A,w02_2025q3,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_a_spf00_stage51_control_w02_2025q3_s53.csv,2025.07.01,2025.10.01,2977,137,133,137,80,27,26,0,0,no additional side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier A,w03_2025q4,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_a_spf00_stage51_control_w03_2025q4_s53.csv,2025.10.01,2026.01.01,3509,103,103,103,60,17,26,0,0,no additional side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier A,w04_2026q1,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_a_spf00_stage51_control_w04_2026q1_s53.csv,2026.01.01,2026.04.14,4075,72,57,72,35,9,13,0,0,no additional side permission filter,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier B,w01_2025q2,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_b_spf00_stage51_control_w01_2025q2_s53.csv,2025.04.01,2025.07.01,495,8,9,8,9,0,0,0,0,no additional side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier B,w02_2025q3,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_b_spf00_stage51_control_w02_2025q3_s53.csv,2025.07.01,2025.10.01,1181,29,28,29,28,0,0,0,0,no additional side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier B,w03_2025q4,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_b_spf00_stage51_control_w03_2025q4_s53.csv,2025.10.01,2026.01.01,583,13,14,13,14,0,0,0,0,no additional side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf00_stage51_control,Tier B,w04_2026q1,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_b_spf00_stage51_control_w04_2026q1_s53.csv,2026.01.01,2026.04.14,479,10,11,10,11,0,0,0,0,no additional side permission filter,"c08_b_val_s45.csv,c08_b_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf01_short_only,Tier A,w01_2025q2,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_a_spf01_short_only_w01_2025q2_s53.csv,2025.04.01,2025.07.01,3597,61,72,0,40,11,21,61,0,block all long entries and allow short entries from the Stage51 firewall stream,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
run47A_side_specific_short_permission_filter_v1,spf01_short_only,Tier A,w02_2025q3,stages/53_adapter_signal__side_specific_short_permission_filter/02_runs/run47A/features/run47A_a_spf01_short_only_w02_2025q3_s53.csv,2025.07.01,2025.10.01,2977,137,133,0,80,27,26,137,0,block all long entries and allow short entries from the Stage51 firewall stream,"c08_a_val_s45.csv,c08_a_oos_s45.csv"
