adapter_id,route_view,closed_trades,net_profit,single_trade_share,day_share,week_share,month_share,long_trades,short_trades,status
spf00_stage51_control,tier_a_side_filter_separate,407,364.18,0.117167,0.097809,0.166676,0.289253,244,163,passed
spf00_stage51_control,tier_b_side_filter_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
spf01_short_only,tier_a_side_filter_separate,138,165.21,0.242661,0.242661,0.381514,0.52975,0,138,passed
spf01_short_only,tier_b_side_filter_separate,43,59.1,0.873942,0.873942,0.873942,1.090355,0,43,failed_concentrated
spf02_validation_weak_strata_block,tier_a_side_filter_separate,241,317.98,0.124505,0.124505,0.158217,0.398327,159,82,passed
spf02_validation_weak_strata_block,tier_b_side_filter_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
spf03_block_early_or_trend_buy,tier_a_side_filter_separate,223,382.66,0.111509,0.10691,0.162181,0.22848,82,141,passed
spf03_block_early_or_trend_buy,tier_b_side_filter_separate,98,164.25,0.31446,0.31446,0.341796,0.429163,47,51,failed_concentrated
spf04_late_buy_plus_short,tier_a_side_filter_separate,217,324.71,0.13141,0.125989,0.199747,0.327708,74,143,passed
spf04_late_buy_plus_short,tier_b_side_filter_separate,43,59.1,0.873942,0.873942,0.873942,1.090355,0,43,failed_concentrated
spf05_short_strength_only,tier_a_side_filter_separate,118,215.54,0.185998,0.185998,0.292428,0.393894,0,118,passed
spf05_short_strength_only,tier_b_side_filter_separate,0,0.0,0.0,0.0,0.0,0.0,0,0,passed
