adapter_id,route_view,cost_0.25_net_profit,cost_0.25_profit_factor,cost_0.25_status,cost_0.5_net_profit,cost_0.5_profit_factor,cost_0.5_status,cost_1.0_net_profit,cost_1.0_profit_factor,cost_1.0_status,cost_2.0_net_profit,cost_2.0_profit_factor,cost_2.0_status
spf00_stage51_control,tier_a_side_filter_separate,262.43,1.258193,passed,160.68,1.14953,passed,-42.82,0.964206,failed,-449.82,0.690624,failed
spf00_stage51_control,tier_b_side_filter_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
spf01_short_only,tier_a_side_filter_separate,130.71,1.273922,passed,96.21,1.194686,passed,27.21,1.051413,failed,-110.79,0.816722,failed
spf01_short_only,tier_b_side_filter_separate,48.35,1.220053,passed,37.6,1.166092,passed,16.1,1.066988,failed,-26.9,0.900444,failed
spf02_validation_weak_strata_block,tier_a_side_filter_separate,257.73,1.382071,passed,197.48,1.279345,passed,76.98,1.099447,failed,-164.02,0.821669,failed
spf02_validation_weak_strata_block,tier_b_side_filter_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
spf03_block_early_or_trend_buy,tier_a_side_filter_separate,326.91,1.561498,passed,271.16,1.44419,passed,159.66,1.238195,passed,-63.34,0.92074,failed
spf03_block_early_or_trend_buy,tier_b_side_filter_separate,139.75,1.354515,passed,115.25,1.282102,passed,66.25,1.151273,passed,-31.75,0.93656,failed
spf04_late_buy_plus_short,tier_a_side_filter_separate,270.46,1.45204,passed,216.21,1.346368,passed,107.71,1.158341,passed,-109.29,0.863972,failed
spf04_late_buy_plus_short,tier_b_side_filter_separate,48.35,1.220053,passed,37.6,1.166092,passed,16.1,1.066988,failed,-26.9,0.900444,failed
spf05_short_strength_only,tier_a_side_filter_separate,186.04,1.480314,passed,156.54,1.389665,passed,97.54,1.226379,passed,-20.46,0.958498,failed
spf05_short_strength_only,tier_b_side_filter_separate,0.0,,failed,0.0,,failed,0.0,,failed,0.0,,failed
