record_view,candidate_id,candidate_alias,candidate_role,feature_design,model_materialization_type,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak,slice_read
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,weekday,Monday,43,-294.12,0.45012,-6.84,0.44186,298.25,59.161327,42,4,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-12,28,-276.73,0.423022,-9.883214,0.392857,292.26,58.452,28,6,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,weekday,Monday,43,-262.28,0.445919,-6.099535,0.44186,266.41,52.845496,42,4,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-12,28,-237.96,0.422048,-8.498571,0.392857,253.24,50.648,28,6,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,session_report,session_07_12_report_time,3,-100.33,0.0,-33.443333,0.0,100.33,20.066,3,3,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,session_report,session_07_12_report_time,3,-88.3,0.0,-29.433333,0.0,88.3,17.66,3,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-08,46,-85.16,0.735503,-1.851304,0.543478,107.67,20.871133,43,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-08,46,-71.41,0.747445,-1.552391,0.543478,87.8,17.06677,43,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-06,10,-69.98,0.622607,-6.998,0.3,77.47,15.265325,5,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-06,10,-60.08,0.63526,-6.008,0.3,68.05,13.39646,5,3,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-07,34,-59.01,0.783854,-1.735588,0.5,111.42,22.284,34,5,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,month,2024-07,34,-53.03,0.778349,-1.559706,0.5,102.31,20.462,34,5,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,close_hour_report,17,130,-35.09,0.960268,-0.269923,0.538462,229.47,34.564982,100,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,close_hour_report,17,130,-32.06,0.967318,-0.246615,0.538462,254.01,37.786174,81,5,negative_fragile_slice(음수 취약 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,close_hour_report,20,12,-27.15,0.648998,-2.2625,0.583333,60.22,11.444535,6,2,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,close_hour_report,20,12,-17.3,0.718791,-1.441667,0.583333,46.34,8.849422,6,2,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,close_hour_report,19,12,-1.03,0.986995,-0.085833,0.5,56.12,11.224,12,4,minor_negative_slice(소폭 음수 구간)
mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,routed_total,chron_segment,chron_mid,95,-0.12,0.999808,-0.001263,0.557895,107.67,19.956258,52,3,minor_negative_slice(소폭 음수 구간)
