candidate_id,candidate_alias,candidate_role,feature_design,model_materialization_type,record_view,net_profit,base_2024_net_profit,net_delta_vs_base_2024,profit_factor,base_2024_profit_factor,pf_delta_vs_base_2024,trade_count,base_2024_trade_count,trade_delta_vs_base_2024,report_equity_drawdown_percent,base_2024_max_drawdown_percent,dd_delta_vs_base_2024,recovery_factor,base_2024_recovery_factor,positive_month_ratio,negative_month_count,base_curve_grade,base_curve_read,weakest_month,weakest_month_net,weakest_weekday,weakest_weekday_net,weakest_hour_report,weakest_hour_net,weakest_session_report,weakest_session_net,weakest_chron_segment,weakest_chron_net,tier_b_fallback_used_count,source_chart_path,review_read
s264_lowrank_control,s264_lc,defensive_control(방어 기준),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,mt5_rt_s264_lc_softctxretrain_historical_2024_tier_a_train_era_stress,779.14,71.34,707.8,1.358718,1.04,0.318718,285,350,-65.0,24.29,37.52,-13.23,1.93,0.23,0.666667,4,C_watch,survives_but_curve_not_pretty,2024-12,-276.73,Monday,-294.12,17,-32.06,session_07_12_report_time,-100.33,chron_mid,-0.12,0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267K/retrained_soft_context_adapter_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267K_stage267_retrained_soft_context_adapter_materialization_v1_s264_lc_softctxretrain_rt_2024.png,improved_but_dd_pf_not_enough(개선됐지만 손실폭/수익 팩터 불충분)
s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,mt5_rt_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,677.92,95.56,582.36,1.355457,1.05,0.305457,285,353,-68.0,22.92,36.68,-13.76,1.97,0.31,0.666667,4,C_watch,survives_but_curve_not_pretty,2024-12,-237.96,Monday,-262.28,17,-35.09,session_07_12_report_time,-88.3,chron_mid,3.74,0,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267K/retrained_soft_context_adapter_materialization/mt5/reports/Project_Obsidian_Prime_v2_run267K_stage267_retrained_soft_context_adapter_materialization_v1_s264_aih_softctxretrain_rt_2024.png,improved_but_dd_pf_not_enough(개선됐지만 손실폭/수익 팩터 불충분)
