record_view,candidate_id,candidate_alias,candidate_role,feature_design,model_materialization_type,route_role,axis,bucket,trade_count,net_profit,profit_factor,expectancy,win_rate,closed_balance_max_drawdown,closed_balance_max_drawdown_percent,longest_underwater_trades,max_losing_streak,slice_read
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-01,13,70.05,4.359712,5.388462,0.692308,20.7,3.856975,3,3,measured_slice(측정 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-02,13,218.88,8.950599,16.836923,0.846154,27.53,3.688321,2,2,measured_slice(측정 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-03,13,76.15,3.866014,5.857692,0.615385,13.16,2.316412,2,2,measured_slice(측정 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-04,25,29.94,1.15584,1.1976,0.48,97.98,15.766099,20,4,measured_slice(측정 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-05,12,122.8,3.649407,10.233333,0.75,29.26,5.418619,3,1,measured_slice(측정 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-06,10,-60.08,0.63526,-6.008,0.3,68.05,13.39646,5,3,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-07,34,-53.03,0.778349,-1.559706,0.5,102.31,20.462,34,5,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-08,46,-71.41,0.747445,-1.552391,0.543478,87.8,17.06677,43,3,minor_negative_slice(소폭 음수 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-09,36,140.56,1.891652,3.904444,0.666667,58.4,9.836452,12,2,measured_slice(측정 구간)
mt5_ta_s264_aih_softctxretrain_historical_2024_tier_a_train_era_stress,s264_allow_inner_high_quarter,s264_aih,challenger_core(핵심 도전자),soft_context_supervised_retrain,supervised_ebm_main_effect_retrain_v1,tier_only_total,month,2024-10,28,196.78,2.334011,7.027857,0.607143,59.23,8.362984,10,5,measured_slice(측정 구간)
