run_id,adapter_id,split,top1_winner,top1_winner_share_of_net,top3_winner_share_of_net,top5_winner_share_of_net,worst_loss,worst_loss_share_of_net_abs,last_quarter_net,last_quarter_net_share
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_stage254_control,validation_is,87.22,0.0897,0.2514,0.3983,-48.88,0.0503,368.5,0.3791
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_stage254_control,oos,78,0.1005,0.2626,0.411,-31.68,0.0408,320.12,0.4125
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_long_session_relax,validation_is,87.22,0.0836,0.2402,0.382,-52.13,0.0499,401.47,0.3846
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_long_session_relax,oos,70.57,0.1052,0.2802,0.4368,-28.84,0.043,294.24,0.4385
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_margin_relax,validation_is,87.22,0.1468,0.3541,0.5491,-45.62,0.0768,210.02,0.3535
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_margin_relax,oos,96.19,0.1006,0.2773,0.4276,-38.42,0.0402,362.68,0.3792
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_session_relax,validation_is,87.22,0.0878,0.249,0.3972,-45.62,0.0459,450.56,0.4537
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_session_relax,oos,66.85,0.115,0.2979,0.4628,-26.95,0.0464,259.1,0.4458
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_tight_margin,validation_is,88.45,0.0847,0.2465,0.3966,-52.13,0.0499,396.09,0.3794
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_tight_margin,oos,94.16,0.0991,0.2714,0.4193,-37.85,0.0398,367.81,0.3871
