run_id,adapter_id,split,gate_column,source_feature,decision_feature,total_rows,signal_rows,base_blocked_signal_rows,blocked_signal_rows,changed_gate_rows,blocked_long_signal_rows,blocked_short_signal_rows,allowed_signal_rows,rank_counts,allowed_signal_rank_counts,max_hold_bars,same_direction_reentry_cooldown_bars,close_on_flat_signal,reverse_on_opposite_signal,source_branch_mode,gate_description,side_filter_feature_index,rank_feature_index
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_stage254_control,validation_is,stage256_source_feature_gate_stage254_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_stage254_control/features/s256_stage254_control_val.csv,9844,468,193,193,0,18,175,275,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":33,""low"":188,""mid"":37,""vhigh"":17}",3,8,False,True,reference,Reference Stage254/252 source gate unchanged.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_stage254_control,oos,stage256_source_feature_gate_stage254_control,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_stage254_control/features/s256_stage254_control_oos.csv,7584,348,148,148,0,14,134,200,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":28,""low"":127,""mid"":38,""vhigh"":7}",3,8,False,True,reference,Reference Stage254/252 source gate unchanged.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_long_session_relax,validation_is,stage256_source_feature_gate_long_session_relax,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_long_session_relax/features/s256_long_session_relax_val.csv,9844,468,193,175,18,0,175,293,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":36,""low"":202,""mid"":38,""vhigh"":17}",3,8,False,True,long_session_relax,Long signals are no longer blocked by the reference session band.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_long_session_relax,oos,stage256_source_feature_gate_long_session_relax,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_long_session_relax/features/s256_long_session_relax_oos.csv,7584,348,148,134,14,0,134,214,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":29,""low"":136,""mid"":42,""vhigh"":7}",3,8,False,True,long_session_relax,Long signals are no longer blocked by the reference session band.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_margin_relax,validation_is,stage256_source_feature_gate_short_margin_relax,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_short_margin_relax/features/s256_short_margin_relax_val.csv,9844,468,193,108,85,18,90,360,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":38,""low"":192,""mid"":113,""vhigh"":17}",3,8,False,True,short_margin_relax,Short signals keep the wide-session block but no longer use the wide-margin block.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_margin_relax,oos,stage256_source_feature_gate_short_margin_relax,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_short_margin_relax/features/s256_short_margin_relax_oos.csv,7584,348,148,86,62,14,72,262,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":36,""low"":133,""mid"":86,""vhigh"":7}",3,8,False,True,short_margin_relax,Short signals keep the wide-session block but no longer use the wide-margin block.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_session_relax,validation_is,stage256_source_feature_gate_short_session_relax,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_short_session_relax/features/s256_short_session_relax_val.csv,9844,468,193,123,70,18,105,345,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":43,""low"":246,""mid"":37,""vhigh"":19}",3,8,False,True,short_session_relax,Short signals keep the wide-margin block but no longer use the wide-session block.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_session_relax,oos,stage256_source_feature_gate_short_session_relax,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_short_session_relax/features/s256_short_session_relax_oos.csv,7584,348,148,95,53,14,81,253,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":35,""low"":169,""mid"":38,""vhigh"":11}",3,8,False,True,short_session_relax,Short signals keep the wide-margin block but no longer use the wide-session block.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_tight_margin,validation_is,stage256_source_feature_gate_short_tight_margin,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_val.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_short_tight_margin/features/s256_short_tight_margin_val.csv,9844,468,193,158,35,18,140,310,"{""high"":573,""low"":7439,""mid"":1559,""vhigh"":273}","{""high"":38,""low"":192,""mid"":63,""vhigh"":17}",3,8,False,True,short_tight_margin,Short signals use the wide-session block plus a narrower tight-margin block.,2,1
run256A_stage256_source_feature_branch_after_binding_lifecycle_no_gain_v1,s256_short_tight_margin,oos,stage256_source_feature_gate_short_tight_margin,stages/59AR_adapter_repair__new_model_branch_from_stage59aq/02_runs/run59AM/s59ar_v41_sd8_h3/features/s59ar_v41_sd8_h3_stage59d_adapter_a_oos.csv,stages/256_adapter_research__source_feature_branch_after_binding_lifecycle_no_gain/02_runs/run256A/s256_short_tight_margin/features/s256_short_tight_margin_oos.csv,7584,348,148,121,27,14,107,227,"{""high"":494,""low"":5454,""mid"":1362,""vhigh"":274}","{""high"":36,""low"":133,""mid"":51,""vhigh"":7}",3,8,False,True,short_tight_margin,Short signals use the wide-session block plus a narrower tight-margin block.,2,1
