attempt_name,tester_profile_path,exists,has_bom,head_hex,encoding_policy,status
run267cv_01_s258_stc_redzone_monday_dd_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_01_s258_stc_redzone_monday_dd_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_01_s258_stc_redzone_monday_dd_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_01_s258_stc_redzone_monday_dd_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_02_s264_aih_aih_supply_repair_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_02_s264_aih_aih_supply_repair_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_02_s264_aih_aih_supply_repair_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_02_s264_aih_aih_supply_repair_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_03_s264_aih_explosive_combo_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_03_s264_aih_explosive_combo_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_03_s264_aih_explosive_combo_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_03_s264_aih_explosive_combo_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_04_s264_aia_explosive_combo_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_04_s264_aia_explosive_combo_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_04_s264_aia_explosive_combo_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_04_s264_aia_explosive_combo_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_05_s258_stc_explosive_combo_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_05_s258_stc_explosive_combo_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267cv_05_s258_stc_explosive_combo_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267cw_run267cv_05_s258_stc_explosive_combo_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
