attempt_name,candidate_id,candidate_alias,candidate_role,variant_id,profile_label,tier,attempt_role,record_view_prefix,set_path,ini_path,common_telemetry_path,common_summary_path,execution_status,runtime_status,report_status
run267cv_01_s258_stc_redzone_monday_dd_ta_2024,s258_short_tight_control,s258_stc,stress_challenger,run267cv_01_s258_stc_redzone_monday_dd,redzone_monday_dd_pressure,Tier A,tier_only_total,mt5_ta_s258_stc_redzone_monday_dd,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_01_s258_stc_redzone_monday_dd_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_01_s258_stc_redzone_monday_dd_ta_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_01_s258_stc_redzone_monday_dd_ta_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_01_s258_stc_redzone_monday_dd_ta_2024_summary.csv,completed,completed,completed
run267cv_01_s258_stc_redzone_monday_dd_rt_2024,s258_short_tight_control,s258_stc,stress_challenger,run267cv_01_s258_stc_redzone_monday_dd,redzone_monday_dd_pressure,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s258_stc_redzone_monday_dd,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_01_s258_stc_redzone_monday_dd_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_01_s258_stc_redzone_monday_dd_rt_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_01_s258_stc_redzone_monday_dd_rt_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_01_s258_stc_redzone_monday_dd_rt_2024_summary.csv,completed,completed,completed
run267cv_02_s264_aih_aih_supply_repair_ta_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cv_02_s264_aih_aih_supply_repair,aih_aggressive_supply_repair,Tier A,tier_only_total,mt5_ta_s264_aih_aih_supply_repair,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_02_s264_aih_aih_supply_repair_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_02_s264_aih_aih_supply_repair_ta_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_02_s264_aih_aih_supply_repair_ta_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_02_s264_aih_aih_supply_repair_ta_2024_summary.csv,completed,completed,completed
run267cv_02_s264_aih_aih_supply_repair_rt_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cv_02_s264_aih_aih_supply_repair,aih_aggressive_supply_repair,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aih_aih_supply_repair,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_02_s264_aih_aih_supply_repair_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_02_s264_aih_aih_supply_repair_rt_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_02_s264_aih_aih_supply_repair_rt_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_02_s264_aih_aih_supply_repair_rt_2024_summary.csv,completed,completed,completed
run267cv_03_s264_aih_explosive_combo_ta_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cv_03_s264_aih_explosive_combo,explosive_shock_state_combo,Tier A,tier_only_total,mt5_ta_s264_aih_explosive_combo,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_03_s264_aih_explosive_combo_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_03_s264_aih_explosive_combo_ta_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_03_s264_aih_explosive_combo_ta_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_03_s264_aih_explosive_combo_ta_2024_summary.csv,completed,completed,completed
run267cv_03_s264_aih_explosive_combo_rt_2024,s264_allow_inner_high_quarter,s264_aih,challenger_core,run267cv_03_s264_aih_explosive_combo,explosive_shock_state_combo,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aih_explosive_combo,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_03_s264_aih_explosive_combo_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_03_s264_aih_explosive_combo_rt_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_03_s264_aih_explosive_combo_rt_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_03_s264_aih_explosive_combo_rt_2024_summary.csv,completed,completed,completed
run267cv_04_s264_aia_explosive_combo_ta_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267cv_04_s264_aia_explosive_combo,explosive_shock_state_combo,Tier A,tier_only_total,mt5_ta_s264_aia_explosive_combo,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_04_s264_aia_explosive_combo_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_04_s264_aia_explosive_combo_ta_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_04_s264_aia_explosive_combo_ta_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_04_s264_aia_explosive_combo_ta_2024_summary.csv,completed,completed,completed
run267cv_04_s264_aia_explosive_combo_rt_2024,s264_allow_inner_all_oos_anchor,s264_aia,oos_anchor,run267cv_04_s264_aia_explosive_combo,explosive_shock_state_combo,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s264_aia_explosive_combo,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_04_s264_aia_explosive_combo_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_04_s264_aia_explosive_combo_rt_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_04_s264_aia_explosive_combo_rt_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_04_s264_aia_explosive_combo_rt_2024_summary.csv,completed,completed,completed
run267cv_05_s258_stc_explosive_combo_ta_2024,s258_short_tight_control,s258_stc,stress_challenger,run267cv_05_s258_stc_explosive_combo,explosive_shock_state_combo,Tier A,tier_only_total,mt5_ta_s258_stc_explosive_combo,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_05_s258_stc_explosive_combo_ta_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_05_s258_stc_explosive_combo_ta_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_05_s258_stc_explosive_combo_ta_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_05_s258_stc_explosive_combo_ta_2024_summary.csv,completed,completed,completed
run267cv_05_s258_stc_explosive_combo_rt_2024,s258_short_tight_control,s258_stc,stress_challenger,run267cv_05_s258_stc_explosive_combo,explosive_shock_state_combo,Tier A+B,routed_total_duplicate_boundary,mt5_rt_s258_stc_explosive_combo,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_05_s258_stc_explosive_combo_rt_2024.set,stages/267_adapter_research__baseline_candidate_racing_protocol/02_runs/run267CW/shared_weakness_breakout_followup_or_prune_mt5_execution/mt5/run267cv_05_s258_stc_explosive_combo_rt_2024.ini,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_05_s258_stc_explosive_combo_rt_2024_telemetry.csv,OPV2/s267cw/run267CW_shared_weakness_followup_or_prune/telemetry/run267cv_05_s258_stc_explosive_combo_rt_2024_summary.csv,completed,completed,completed
