adapter_id,split,status,atr_enabled,model_risk_enabled,max_model_risk_pct,max_actual_risk_pct_after_floor,risk_floor_applied_count,avg_executed_lot,avg_atr_points,avg_open_sl_points,avg_open_tp_points,risk_bucket,read
s252_binding_control,validation_is,completed,True,True,0.0305,0.0304859339,0,0.009917716375,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_binding_control,oos,completed,True,True,0.0305,0.0303072839,0,0.006565137131,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_short_low_score006,validation_is,completed,True,True,0.0305,0.0303488145,0,0.008584924827,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_short_low_score006,oos,completed,True,True,0.0305,0.0303869549,0,0.005973101266,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_long_low_score006,validation_is,completed,True,True,0.0305,0.0304760194,0,0.009293986184,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_long_low_score006,oos,completed,True,True,0.0305,0.0304133199,0,0.006147151899,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_short_low_gate,validation_is,completed,True,True,0.0305,0.0304045514,0,0.003977041853,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_short_low_gate,oos,completed,True,True,0.0305,0.0303524889,0,0.003492879747,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_long_low_gate,validation_is,completed,True,True,0.0305,0.0304727492,0,0.006186509549,3634.39774,7386.913407,16772.74557,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
s252_long_low_gate,oos,completed,True,True,0.0305,0.030466616,0,0.004086234177,3903.364499,7933.588343,18014.02716,mid,ATR/risk(ATR/위험)은 존재하지만 KPI(핵심 성과 지표) 통과의 충분조건이 아니다.
