attempt_name,tester_profile_path,exists,has_bom,head_hex,encoding_policy,status
run267dd_01_s258_stc_2023h2_session_cross_stress_ta_2023h2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_01_s258_stc_2023h2_session_cross_stress_ta_2023h2.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_02_s258_stc_2025h1_session_cross_stress_ta_2025h1,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_02_s258_stc_2025h1_session_cross_stress_ta_2025h1.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_03_s258_stc_2025h2_session_cross_stress_ta_2025h2,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_03_s258_stc_2025h2_session_cross_stress_ta_2025h2.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_04_s264_aia_similar_replacement_watch_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_04_s264_aia_similar_replacement_watch_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_04_s264_aia_similar_replacement_watch_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_04_s264_aia_similar_replacement_watch_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_05_s264_aia_ablation_neutralized_watch_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_05_s264_aia_ablation_neutralized_watch_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_05_s264_aia_ablation_neutralized_watch_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_05_s264_aia_ablation_neutralized_watch_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_06_s264_aih_december_destructive_prune_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_06_s264_aih_december_destructive_prune_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_06_s264_aih_december_destructive_prune_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_06_s264_aih_december_destructive_prune_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_07_s264_lc_weekday_dd_control_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_07_s264_lc_weekday_dd_control_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_07_s264_lc_weekday_dd_control_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_07_s264_lc_weekday_dd_control_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_08_s262_lih_weekday_dd_control_ta_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_08_s262_lih_weekday_dd_control_ta_2024.ini,true,false,5b546573,utf-8-no-bom,checked
run267dd_08_s262_lih_weekday_dd_control_rt_2024,C:/Users/awdse/AppData/Roaming/MetaQuotes/Terminal/D0E8209F77C8CF37AD8BF550E51FF075/MQL5/Profiles/Tester/opv2_s267de_run267dd_08_s262_lih_weekday_dd_control_rt_2024.ini,true,false,5b546573,utf-8-no-bom,checked
