candidate_id,split,target_id,target_family,horizon_bars,feature_set_id,feature_count,model_id,model_family,threshold_quantile,edge_threshold_from_train,cooldown_bars,side_policy,exit_mode,signal_count,trade_count,trades_per_day,net_profit_proxy_points,gross_profit_proxy_points,gross_loss_proxy_points,profit_factor,expectancy_proxy_points,win_rate_percent,average_win_proxy_points,average_loss_proxy_points,payoff_ratio,max_drawdown_proxy_points,proxy_dd_percent_on_10000_points,recovery_factor,max_consecutive_loss,long_trade_count,short_trade_count,density_band_read,four_axis_distance_score,claim_boundary
f68b_db3b18d38795,validation,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,1,both(양방향),atr_sltp_conservative(보수적_ATR손익절),104,76,0.29343629343629346,300.49738403319634,1269.689310150147,969.1919261169514,1.310049409137293,3.953912947805215,51.31578947368421,32.55613615769608,-26.19437638153923,1.2428673881558934,266.6249642944355,2.6662496429443547,1.1270414412558734,5,5,71,below_goal_band(목표대역미만),0.48338095919177065,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_db3b18d38795,oos,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,1,both(양방향),atr_sltp_conservative(보수적_ATR손익절),152,114,0.6195652173913043,579.4490225219686,1944.0650537109307,1364.6160311889612,1.4246242234287017,5.082886162473408,53.50877192982456,31.869918913293944,-25.747472286584173,1.2377882597003471,146.51598434448243,1.4651598434448243,3.95485192359348,4,14,100,below_goal_band(목표대역미만),0.6384762422099575,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_16dba7bda86d,validation,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,1,short_only(숏만),atr_sltp_conservative(보수적_ATR손익절),97,71,0.27413127413127414,313.48634239196105,1252.9893101501473,939.5029677581867,1.3336725408542265,4.415300597069874,49.29577464788733,35.79969457571849,-26.097304659949632,1.3717774705929184,273.2249642944355,2.732249642944355,1.1473561473472778,5,0,71,below_goal_band(목표대역미만),0.4875065419165368,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_16dba7bda86d,oos,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,1,short_only(숏만),atr_sltp_conservative(보수적_ATR손익절),137,100,0.5780346820809249,632.1098283386148,1834.1850537109262,1202.0752253723108,1.5258488112861956,6.3210982833861475,56.00000000000001,32.753304530552256,-27.319891485734335,1.1988812088677254,146.51598434448243,1.4651598434448243,4.314272133287681,4,0,100,below_goal_band(목표대역미만),0.6519987089761663,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_b240fd31389f,validation,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,3,both(양방향),close_horizon(만기종가),104,61,0.23552123552123552,319.97999999999746,966.9100000000019,646.9300000000048,1.4946130184100206,5.245573770491761,54.09836065573771,29.300303030303088,-23.10464285714303,1.2681565004691084,291.9300000000011,2.919300000000011,1.0960846778337145,4,3,58,below_goal_band(목표대역미만),0.5066851140379335,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_b240fd31389f,oos,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,3,both(양방향),close_horizon(만기종가),152,84,0.45652173913043476,313.75000000000296,1457.0699999999986,1143.3199999999952,1.2744201098555126,3.735119047619083,52.38095238095239,33.11522727272724,-28.582999999999878,1.1585637362322843,131.45000000000016,1.3145000000000016,2.3868391023202933,4,13,71,below_goal_band(목표대역미만),0.5685464928648972,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_a6b811d9a816,validation,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,3,both(양방향),atr_sltp_conservative(보수적_ATR손익절),104,61,0.23552123552123552,422.7873616027806,1097.5764321136483,674.789070510868,1.6265474354566787,6.930940354143944,57.377049180327866,31.359326631818522,-25.95342578887954,1.2082923806249612,265.704117355349,2.6570411735534902,1.5911961237595376,4,3,58,below_goal_band(목표대역미만),0.5594827063233204,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_a6b811d9a816,oos,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,3,both(양방향),atr_sltp_conservative(보수적_ATR손익절),152,84,0.45652173913043476,403.1466934204065,1460.8450537109336,1057.6983602905266,1.3811546926381464,4.799365397861982,52.38095238095239,33.20102394797576,-26.442459007263164,1.2555951751255876,155.1775204467842,1.551775204467842,2.5979709706642695,4,13,71,below_goal_band(목표대역미만),0.5986321381718906,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_903961af5546,validation,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,3,short_only(숏만),close_horizon(만기종가),97,58,0.22393822393822393,305.0799999999973,952.0100000000018,646.9300000000048,1.4715811602491686,5.259999999999954,51.724137931034484,31.73366666666673,-23.10464285714303,1.3734757495658907,296.730000000001,2.96730000000001,1.0281400599871813,4,0,58,below_goal_band(목표대역미만),0.49823737366071635,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
f68b_903961af5546,oos,h1_ddp03_min1p5(1봉_손실벌점),dd_penalized_close(손실폭벌점종가),1,full58(전체58),59,extra_trees_shallow(얕은엑스트라트리스),tree_bagging(트리배깅),0.975,0.040885302069178446,3,short_only(숏만),close_horizon(만기종가),137,71,0.41040462427745666,457.9200000000003,1376.4899999999957,918.5699999999955,1.4985139945785324,6.449577464788737,56.33802816901409,34.412249999999894,-29.6312903225805,1.1613483457983627,123.29999999999998,1.2329999999999999,3.713868613138689,4,0,71,below_goal_band(목표대역미만),0.6411932841578781,proxy_broad_sweep_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
