run_id,attempt_name,candidate_id,axis_id,split,layer,metric,proxy_value,runtime_value,delta,gap_class,evidence,claim_boundary
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_validation,f68b_23f4d4607a78,density_axis,validation,signal_count_parity,signal_count,4864,4864,0,signal_count_exact,runtime_summary_vs_onnx_signal_parity,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_validation,f68b_23f4d4607a78,density_axis,validation,feature_readiness,feature_ready_count,9844,9844,0,feature_ready_exact,runtime_summary_feature_ready_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_validation,f68b_23f4d4607a78,density_axis,validation,trade_density,trades_per_day,7.476014760147602,6.838235294117647,-0.6377794660299552,runtime_density_in_target_band,proxy_kpi_vs_strategy_tester_trade_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_validation,f68b_23f4d4607a78,density_axis,validation,economics_pf,profit_factor,1.0431014832047087,0.91,-0.13310148320470871,runtime_pf_below_proxy,proxy_kpi_vs_strategy_tester_report,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_validation,f68b_23f4d4607a78,density_axis,validation,drawdown_methodology,drawdown_percent,11.91909999999984,71.13,59.21090000000015,runtime_dd_exceeds_proxy_dd,proxy_dd_percent_vs_strategy_tester_dd,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_validation,f68b_23f4d4607a78,density_axis,validation,accounting_trade_shape,order_fill_vs_deal_count,3587,3720,133,deal_order_gap,runtime_order_fill_count_vs_strategy_report_deal_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_validation,f68b_23f4d4607a78,density_axis,validation,cost_identity,commission_swap,proxy_cost_terms,commission=0.0;swap=2.17,2.17,cost_observed_in_deal_table,strategy_report_deal_table,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_oos,f68b_23f4d4607a78,density_axis,oos,signal_count_parity,signal_count,4782,4782,0,signal_count_exact,runtime_summary_vs_onnx_signal_parity,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_oos,f68b_23f4d4607a78,density_axis,oos,feature_readiness,feature_ready_count,7584,7584,0,feature_ready_exact,runtime_summary_feature_ready_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_oos,f68b_23f4d4607a78,density_axis,oos,trade_density,trades_per_day,9.65979381443299,8.456410256410257,-1.2033835580227326,runtime_density_in_target_band,proxy_kpi_vs_strategy_tester_trade_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_oos,f68b_23f4d4607a78,density_axis,oos,economics_pf,profit_factor,1.0478459067961752,1.04,-0.00784590679617514,runtime_pf_below_proxy,proxy_kpi_vs_strategy_tester_report,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_oos,f68b_23f4d4607a78,density_axis,oos,drawdown_methodology,drawdown_percent,12.75599999999986,26.84,14.08400000000014,runtime_dd_exceeds_proxy_dd,proxy_dd_percent_vs_strategy_tester_dd,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_oos,f68b_23f4d4607a78,density_axis,oos,accounting_trade_shape,order_fill_vs_deal_count,3194,3298,104,deal_order_gap,runtime_order_fill_count_vs_strategy_report_deal_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_density_axis_607a78_oos,f68b_23f4d4607a78,density_axis,oos,cost_identity,commission_swap,proxy_cost_terms,commission=0.0;swap=4.26,4.26,cost_observed_in_deal_table,strategy_report_deal_table,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_validation,f68b_3481a04983ee,pf_axis,validation,signal_count_parity,signal_count,2,2,0,signal_count_exact,runtime_summary_vs_onnx_signal_parity,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_validation,f68b_3481a04983ee,pf_axis,validation,feature_readiness,feature_ready_count,9844,9844,0,feature_ready_exact,runtime_summary_feature_ready_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_validation,f68b_3481a04983ee,pf_axis,validation,trade_density,trades_per_day,1.0,0.007352941176470588,-0.9926470588235294,runtime_density_outside_target_band,proxy_kpi_vs_strategy_tester_trade_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_validation,f68b_3481a04983ee,pf_axis,validation,economics_pf,profit_factor,99.0,43.4,-55.6,proxy_pf_saturation_vs_runtime_pf,proxy_kpi_vs_strategy_tester_report,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_validation,f68b_3481a04983ee,pf_axis,validation,drawdown_methodology,drawdown_percent,0.0,0.35,0.35,runtime_dd_under_10_observation,proxy_dd_percent_vs_strategy_tester_dd,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_validation,f68b_3481a04983ee,pf_axis,validation,accounting_trade_shape,order_fill_vs_deal_count,3,4,1,deal_order_gap,runtime_order_fill_count_vs_strategy_report_deal_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_validation,f68b_3481a04983ee,pf_axis,validation,cost_identity,commission_swap,proxy_cost_terms,commission=0.0;swap=0.0,0.0,cost_zero_or_unparsed,strategy_report_deal_table,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_oos,f68b_3481a04983ee,pf_axis,oos,signal_count_parity,signal_count,1,1,0,signal_count_exact,runtime_summary_vs_onnx_signal_parity,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_oos,f68b_3481a04983ee,pf_axis,oos,feature_readiness,feature_ready_count,7584,7584,0,feature_ready_exact,runtime_summary_feature_ready_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
frontier68D_mt5_runtime_probe_candidate_axis_materialization_v1,f68d_pf_axis_4983ee_oos,f68b_3481a04983ee,pf_axis,oos,trade_density,trades_per_day,1.0,0.005128205128205128,-0.9948717948717949,runtime_density_outside_target_band,proxy_kpi_vs_strategy_tester_trade_count,runtime_probe_observation_only_no_completion_no_baseline_no_promotion_no_runtime_authority_no_live_readiness_no_goal_achieve
