candidate_id,candidate_label,split,label_id,label_family,long_horizon_bars,short_horizon_bars,long_threshold,short_threshold,flat_band_rule,volatility_normalization_flag,session_adjustment_flag,train_label_counts,validation_label_counts,oos_label_counts,class_balance,class_balance_status,model_family,model_artifact_path,tier_a_used_count,tier_b_fallback_used_count,actual_routed_total_count,validation_trade_count,oos_trade_count,long_count,short_count,flat_count,no_trade_rate,validation_oos_gap,direction_specific_expectancy,trade_count_thinning_vs_reference,tier_b_signal_share_python,candidate_rejection_reason
c01_current_label_reference,current v2 label/reference behavior using fwd12 symmetric threshold,validation_is,stage41_c01_current_label_reference,current_label_reference,12,12,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 9643, ""long"": 10515, ""short"": 9064}","{""flat"": 3631, ""long"": 3293, ""short"": 2920}","{""flat"": 2968, ""long"": 2357, ""short"": 2259}","{""flat"": 0.36885412433969933, ""long"": 0.33451848841934173, ""short"": 0.29662738724095894}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c01_current_label_reference_elastic_net_logistic.joblib,1445,32,1477,1477,,815,662,10733,0.879033579033579,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,0,0.021665538253215978,mt5_pending
c01_current_label_reference,current v2 label/reference behavior using fwd12 symmetric threshold,oos,stage41_c01_current_label_reference,current_label_reference,12,12,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 9643, ""long"": 10515, ""short"": 9064}","{""flat"": 3631, ""long"": 3293, ""short"": 2920}","{""flat"": 2968, ""long"": 2357, ""short"": 2259}","{""flat"": 0.39135021097046413, ""long"": 0.3107858649789029, ""short"": 0.2978639240506329}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c01_current_label_reference_elastic_net_logistic.joblib,1120,57,1177,,1177,602,575,7469,0.8638676844783715,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,0,0.048428207306711976,mt5_pending
c02_long_horizon_longer_short_same,long horizon longer while short horizon stays at current horizon,validation_is,stage41_c02_long18_short12,long_horizon_longer,18,12,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 8109, ""long"": 10285, ""short"": 8219}","{""flat"": 3197, ""long"": 3225, ""short"": 2592}","{""flat"": 2560, ""long"": 2342, ""short"": 2038}","{""flat"": 0.354670512536055, ""long"": 0.35777679165742177, ""short"": 0.2875526958065232}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c02_long_horizon_longer_short_same_elastic_net_logistic.joblib,1102,25,1127,1127,,585,542,9973,0.8984684684684685,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-350,0.022182786157941437,mt5_pending
c02_long_horizon_longer_short_same,long horizon longer while short horizon stays at current horizon,oos,stage41_c02_long18_short12,long_horizon_longer,18,12,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 8109, ""long"": 10285, ""short"": 8219}","{""flat"": 3197, ""long"": 3225, ""short"": 2592}","{""flat"": 2560, ""long"": 2342, ""short"": 2038}","{""flat"": 0.3688760806916426, ""long"": 0.33746397694524494, ""short"": 0.2936599423631124}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c02_long_horizon_longer_short_same_elastic_net_logistic.joblib,798,44,842,,842,427,415,7018,0.8928753180661577,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-335,0.052256532066508314,mt5_pending
c03_short_horizon_shorter_long_same,short horizon shorter while long horizon stays at current horizon,validation_is,stage41_c03_long12_short8,short_horizon_shorter,12,8,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 10565, ""long"": 10411, ""short"": 8246}","{""flat"": 4028, ""long"": 3235, ""short"": 2581}","{""flat"": 3261, ""long"": 2323, ""short"": 2000}","{""flat"": 0.40918325883787077, ""long"": 0.32862657456318567, ""short"": 0.2621901665989435}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c03_short_horizon_shorter_long_same_elastic_net_logistic.joblib,1248,18,1266,1266,,623,643,10944,0.8963144963144963,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-211,0.014218009478672985,mt5_pending
c03_short_horizon_shorter_long_same,short horizon shorter while long horizon stays at current horizon,oos,stage41_c03_long12_short8,short_horizon_shorter,12,8,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 10565, ""long"": 10411, ""short"": 8246}","{""flat"": 4028, ""long"": 3235, ""short"": 2581}","{""flat"": 3261, ""long"": 2323, ""short"": 2000}","{""flat"": 0.4299841772151899, ""long"": 0.30630274261603374, ""short"": 0.26371308016877637}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c03_short_horizon_shorter_long_same_elastic_net_logistic.joblib,1000,46,1046,,1046,458,588,7600,0.8790191996298866,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-131,0.04397705544933078,mt5_pending
c04_asymmetric_long_slow_short_fast,long opportunities get slower horizon and short opportunities get faster horizon,validation_is,stage41_c04_long18_short8,asymmetric_long_slow_short_fast,18,8,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 9058, ""long"": 10182, ""short"": 7373}","{""flat"": 3563, ""long"": 3200, ""short"": 2251}","{""flat"": 2836, ""long"": 2321, ""short"": 1783}","{""flat"": 0.39527401819392055, ""long"": 0.35500332815620145, ""short"": 0.24972265364987797}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c04_asymmetric_long_slow_short_fast_elastic_net_logistic.joblib,995,15,1010,1010,,443,567,10090,0.909009009009009,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-467,0.01485148514851485,mt5_pending
c04_asymmetric_long_slow_short_fast,long opportunities get slower horizon and short opportunities get faster horizon,oos,stage41_c04_long18_short8,asymmetric_long_slow_short_fast,18,8,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 9058, ""long"": 10182, ""short"": 7373}","{""flat"": 3563, ""long"": 3200, ""short"": 2251}","{""flat"": 2836, ""long"": 2321, ""short"": 1783}","{""flat"": 0.4086455331412104, ""long"": 0.3344380403458213, ""short"": 0.2569164265129683}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c04_asymmetric_long_slow_short_fast_elastic_net_logistic.joblib,777,38,815,,815,337,478,7045,0.8963104325699746,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-362,0.046625766871165646,mt5_pending
c05_asymmetric_long_fast_short_slow,long opportunities get faster horizon and short opportunities get slower horizon,validation_is,stage41_c05_long8_short18,asymmetric_long_fast_short_slow,8,18,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 9737, ""long"": 8350, ""short"": 8526}","{""flat"": 3587, ""long"": 2609, ""short"": 2818}","{""flat"": 2988, ""long"": 1812, ""short"": 2140}","{""flat"": 0.3979365431550921, ""long"": 0.289438650987353, ""short"": 0.3126248058575549}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c05_asymmetric_long_fast_short_slow_elastic_net_logistic.joblib,1053,12,1065,1065,,720,345,10035,0.904054054054054,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-412,0.011267605633802818,mt5_pending
c05_asymmetric_long_fast_short_slow,long opportunities get faster horizon and short opportunities get slower horizon,oos,stage41_c05_long8_short18,asymmetric_long_fast_short_slow,8,18,0.001277833051854688,0.001277833051854688,symmetric_current_band,False,False,"{""flat"": 9737, ""long"": 8350, ""short"": 8526}","{""flat"": 3587, ""long"": 2609, ""short"": 2818}","{""flat"": 2988, ""long"": 1812, ""short"": 2140}","{""flat"": 0.43054755043227666, ""long"": 0.2610951008645533, ""short"": 0.30835734870317005}",usable,elastic_net_logistic,stages/41_label_horizon__directional_asymmetric_return_target_rebuild/02_runs/run35A_directional_asymmetric_label_horizon_broad_mt5_probe_v1/models/c05_asymmetric_long_fast_short_slow_elastic_net_logistic.joblib,612,36,648,,648,421,227,7212,0.917557251908397,mt5_pending,mt5_trade_direction_attribution_not_available_in_summary_import,-529,0.05555555555555555,mt5_pending
