test_period,split_view,net_profit,gross_profit,gross_loss,profit_factor,drawdown_percent,trade_count,trades_day,win_rate_percent,average_win,average_loss,payoff_ratio,expectancy,recovery_factor,time_under_water,max_consecutive_loss,long_short_breakdown,proxy_runtime_gap
2025-01-02..2025-10-01,F73F direct binary adapter runtime probe validation Tier A separate(Tier A 분리),33.83,550.18,-516.35,1.07,21.0,210,0.7720588235294118,41.43,6.323908045977011,-4.197967479674797,1.506421399545216,0.16,0.29,not_available_from_current_strategy_report_parse(현재 전략 보고서 파싱에서 없음),not_available_from_current_strategy_report_parse(현재 전략 보고서 파싱에서 없음),210/0,proxy PF/DD/tpd 1.3118881492172865/7.67075126647951/1.2592592592592593 vs runtime 1.07/21.0/0.7720588235294118
2025-10-01..2026-04-14,F73F direct binary adapter runtime probe oos Tier A separate(Tier A 분리),88.88,366.36,-277.48,1.32,5.16,123,0.6307692307692307,43.9,6.7844444444444445,-4.021449275362319,1.6870645331795684,0.72,3.08,not_available_from_current_strategy_report_parse(현재 전략 보고서 파싱에서 없음),not_available_from_current_strategy_report_parse(현재 전략 보고서 파싱에서 없음),123/0,proxy PF/DD/tpd 1.3586513026740523/4.245295150756847/1.0 vs runtime 1.32/5.16/0.6307692307692307
