split,source_candidate_id,source_binary_model_id,bridge_model_id,source_selected_count,bridge_selected_count,overlap_count,source_only_count,bridge_only_count,overlap_ratio_vs_source,source_net_profit,source_profit_factor,source_max_drawdown_percent,source_trades_day,bridge_net_profit,bridge_profit_factor,bridge_max_drawdown_percent,bridge_trades_day,claim_boundary
validation,f73c_0002,small_nn_16,small_nn_16,340,340,62,278,278,0.18235294117647058,2251.030872955321,1.3118881492172865,7.67075126647951,1.2592592592592593,-1216.2911083984388,0.8737050488310499,15.626041001510638,1.25,proxy_bridge_delta_not_authority
oos,f73c_0002,small_nn_16,small_nn_16,195,332,38,157,294,0.19487179487179487,1431.5035032653857,1.3586513026740523,4.245295150756847,1.0,784.243637390138,1.0948640212672127,13.278702453613258,1.7473684210526317,proxy_bridge_delta_not_authority
