dataset_id,rows,features,split_counts,timestamp_min,timestamp_max,duplicate_timestamps,missing_feature_cells,integrity_judgment
fwd12,46650,58,"{""train"": 29222, ""validation"": 9844, ""oos"": 7584}",2022-09-01 16:40:00+00:00,2026-04-13 22:00:00+00:00,0,0,usable_with_boundary(경계 포함 사용 가능)
fwd18,42567,58,"{""train"": 26613, ""validation"": 9014, ""oos"": 6940}",2022-09-01 16:40:00+00:00,2026-04-13 21:30:00+00:00,0,0,usable_with_boundary(경계 포함 사용 가능)
