split,f73d_runtime_net_profit,f73d_runtime_profit_factor,f73d_runtime_dd_percent,f73d_runtime_trades_day,f73f_proxy_net_profit,f73f_proxy_profit_factor,f73f_proxy_dd_percent,f73f_proxy_trades_day,f73f_runtime_net_profit,f73f_runtime_profit_factor,f73f_runtime_dd_percent,f73f_runtime_trades_day,f73f_trade_count,f73f_expected_signal_count,f73f_signal_count_diff,f73f_feature_ready_diff,f73f_order_attempt_count,f73f_order_fill_count,f73f_win_rate_percent,f73f_average_win,f73f_average_loss,f73f_payoff_ratio,f73f_expectancy,f73f_recovery_factor,source_reproduction_overlap,runtime_minus_proxy_pf,runtime_minus_proxy_dd,runtime_trade_compression
validation,-115.3,0.83,26.39,0.8382352941176471,2251.030872955321,1.3118881492172865,7.67075126647951,1.2592592592592593,33.83,1.07,21.0,0.7720588235294118,210,340,0,0,220,220,41.43,6.323908045977011,-4.197967479674797,1.506421399545216,0.16,0.29,1.0,-0.2418881492172864,13.32924873352049,0.6176470588235294
oos,48.84,1.09,15.33,1.0102564102564102,1431.5035032653857,1.3586513026740523,4.245295150756847,1.0,88.88,1.32,5.16,0.6307692307692307,123,195,0,0,132,132,43.9,6.7844444444444445,-4.021449275362319,1.6870645331795684,0.72,3.08,1.0,-0.03865130267405226,0.9147048492431535,0.6307692307692307
